time (s)	magX	magY	magZ
5734.275219	334.490936	440.919342	-242.705444
5734.278532	329.873749	434.899475	-252.465820
5734.281893	325.256592	428.704254	-261.349487
5734.286476	316.022217	416.196960	-278.649414
5734.289392	310.879028	409.709534	-287.533081
5734.292747	306.320282	402.871429	-294.780212
5734.296071	301.060211	396.091766	-303.722473
5734.299454	295.975464	389.428986	-311.670959
5734.302786	290.481598	382.240234	-319.444214
5734.306134	284.870850	374.350098	-326.866760
5734.309391	279.669189	367.044434	-334.406250
5734.312293	274.058441	359.095856	-341.653381
5734.315627	267.804810	351.322632	-347.965515
5734.318966	261.375793	342.848022	-355.095825
5734.322294	255.355927	334.315033	-360.881958
5734.325624	248.050262	326.015778	-366.901855
5734.328972	241.796616	316.839844	-373.155457
5734.331867	235.075394	307.488586	-379.000061
5734.335197	226.776154	297.085327	-384.961487
5734.338537	219.762711	287.324951	-390.572205
5734.341864	212.515488	276.395660	-395.306274
5734.345203	204.917603	265.700165	-399.748108
5734.348529	196.092346	254.186432	-404.832886
5734.351868	189.078903	242.438934	-408.807129
5734.355229	181.597900	230.282288	-413.541199
5734.358535	173.181763	218.710114	-416.580383
5734.361861	165.642319	205.443024	-419.794922
5734.365199	157.752197	192.468140	-422.308044
5734.368533	150.271194	179.551727	-425.405640
5734.371856	142.731735	165.933960	-427.042053
5734.375194	135.659836	153.485092	-429.379883
5734.378527	128.061966	140.159546	-429.379883
5734.381855	121.457626	126.483337	-430.081238
5734.385190	114.210419	113.157799	-430.081238
5734.388525	108.190536	100.007591	-429.496826
5734.391861	102.112228	87.324951	-428.912292
5734.395195	96.852142	73.239624	-427.100525
5734.398553	90.832245	60.323200	-425.522461
5734.401858	85.046173	48.341904	-423.535400
5734.405189	79.669189	36.535942	-421.665161
5734.408523	73.941559	24.788422	-418.567505
5734.411855	69.616608	12.514904	-414.067261
5734.415193	65.174744	1.527176	-411.846313
5734.418520	60.616028	-9.168327	-407.112305
5734.421856	56.349487	-20.798950	-403.430115
5734.425191	51.849213	-30.851555	-399.397461
5734.428518	48.167145	-40.728821	-393.552917
5734.431855	43.900635	-51.015198	-387.883728
5734.435186	40.510834	-60.308022	-381.980774
5734.439894	33.848053	-78.601402	-369.531860
5734.442817	30.049103	-87.426643	-362.460022
5734.446101	26.659271	-95.784340	-355.154297
5734.449385	23.737000	-104.609581	-347.614807
5734.452702	20.639404	-112.265938	-340.718323
5734.456036	17.658691	-119.980721	-331.250183
5734.459387	14.736420	-128.221527	-322.834045
5734.462288	11.814148	-135.994751	-313.365906
5734.465631	9.184113	-143.709534	-303.371765
5734.468958	6.670959	-151.716553	-293.903625
5734.472293	3.748688	-158.729980	-282.623657
5734.475625	1.820007	-165.275879	-272.629517
5734.478952	0.008179	-172.464630	-261.466431
5734.481854	-2.212738	-179.419647	-250.244934
5734.485218	-4.258331	-185.731720	-238.789612
5734.488522	-5.953247	-192.511383	-226.457642
5734.491850	-6.946808	-198.648132	-213.774963
5734.495186	-8.057281	-204.142029	-202.962585
5734.498514	-8.758606	-210.161865	-190.163086
5734.501849	-10.453522	-215.947998	-178.240234
5734.505184	-9.752197	-221.208038	-165.849792
5734.508514	-9.401520	-226.409698	-153.108704
5734.511849	-9.167755	-230.325531	-140.426086
5734.515187	-8.817078	-236.111633	-128.210999
5734.518509	-7.823486	-239.969025	-116.171265
5734.521848	-6.946808	-242.832825	-103.839294
5734.525183	-5.602570	-246.631805	-91.974915
5734.528534	-5.018097	-249.904724	-80.870239
5734.531853	-3.089417	-252.651672	-68.655151
5734.535188	-2.329620	-255.164825	-58.018127
5734.538514	-0.985382	-257.561066	-47.030396
5734.541846	1.352448	-259.781982	-35.575134
5734.545181	3.456451	-261.593811	-26.106995
5734.548511	4.917603	-262.704254	-14.768555
5734.551841	6.729401	-264.749847	-5.125122
5734.555175	8.833435	-265.392761	4.752197
5734.558509	10.353027	-266.327881	14.337219
5734.561841	12.164825	-267.379883	23.922241
5734.565176	14.736420	-267.496765	33.507294
5734.568509	16.139099	-267.438354	42.800079
5734.571859	18.476929	-268.431915	51.917603
5734.575174	19.938049	-267.847443	60.625916
5734.578508	21.925201	-267.555206	69.568054
5734.581842	24.029236	-267.847443	77.691956
5734.585176	26.016357	-266.795441	86.926361
5734.588509	28.061951	-266.620087	95.751617
5734.591856	30.341309	-266.386322	104.518402
5734.596476	34.374054	-264.223846	122.987122
5734.599357	36.185852	-264.165405	132.046173
5734.602690	38.815918	-263.405609	139.644073
5734.606035	41.270630	-261.769135	149.053741
5734.609374	43.140869	-261.184692	157.586761
5734.612762	45.361786	-259.489777	165.418457
5734.615635	47.465790	-258.320862	174.886597
5734.618929	50.446533	-256.859741	183.711853
5734.622262	53.485687	-255.749268	192.186401
5734.625601	55.648163	-253.879028	200.018097
5734.628929	58.511963	-252.593201	208.083557
5734.632256	60.382233	-250.956757	216.382812
5734.635169	63.772064	-249.144928	224.974274
5734.638505	66.635895	-247.683807	232.163025
5734.641831	69.558136	-245.813568	239.585602
5734.645167	71.720612	-244.293976	248.118622
5734.648502	74.701324	-243.183533	254.664490
5734.651830	76.922272	-240.670380	260.918152
5734.655164	79.902985	-239.326111	267.230255
5734.658502	83.526581	-238.098755	274.419037
5734.661859	85.689056	-236.053192	279.562225
5734.665165	88.260681	-235.001160	285.406769
5734.668501	90.773834	-232.721771	290.666870
5734.671826	92.994751	-230.793091	296.160706
5734.675165	95.507889	-229.682648	300.894775
5734.678493	97.904160	-227.520172	305.804199
5734.681829	100.125076	-225.649902	310.246033
5734.685168	102.287552	-224.305664	314.278748
5734.688499	104.859146	-222.435394	317.843933
5734.691834	106.320282	-220.974274	321.467560
5734.695164	108.307434	-218.578033	326.201599
5734.698491	110.177689	-217.526001	329.006989
5734.701859	111.872574	-216.649323	332.747498
5734.705162	113.625961	-213.960846	336.078888
5734.708497	115.028641	-213.084167	339.176483
5734.711826	116.840439	-211.389221	341.981873
5734.715157	118.301590	-209.869659	345.722351
5734.718492	120.113373	-208.291626	349.229065
5734.721831	121.574524	-207.181183	352.092896
5734.725161	123.269440	-205.252472	355.424316
5734.728497	124.555237	-202.973114	358.054321
5734.731829	126.016357	-201.745758	361.853271
5734.735156	128.003510	-200.343079	364.074219
5734.738490	129.639984	-198.823517	367.639374
5734.741829	130.984207	-196.719452	370.853882
5734.745185	132.445358	-194.907654	373.659241
5734.749836	135.835205	-191.751587	380.438904
5734.752687	136.945648	-189.939789	384.646973
5734.756082	138.699005	-187.835754	387.569214
5734.759405	140.627701	-186.608398	390.082397
5734.762760	142.030380	-184.445923	392.946228
5734.766011	143.842194	-183.101685	396.102264
5734.769349	145.011124	-181.582123	398.907654
5734.772687	146.589142	-179.711884	401.479248
5734.775580	148.342499	-178.484528	404.401489
5734.778909	150.446518	-177.315613	406.739319
5734.782258	151.556976	-175.796021	410.129150
