time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5813.698440	168.965530	10.000000	-0.100000	53
5816.674173	122.604927	-3.117583	0.100000	55
5818.714780	228.001511	1.450081	0.100000	57
5820.758129	227.862961	1.408682	0.100000	59
5822.794568	230.047501	1.363229	0.100000	61
5824.828184	228.026932	1.312140	0.100000	63
5826.861516	228.939926	1.265819	0.100000	65
5828.908707	230.244003	1.241817	0.100000	67
5830.964473	230.086639	1.227033	0.100000	69
5833.007463	230.367599	1.190140	0.100000	71
5835.036532	228.647598	1.149386	0.100000	73
5837.069792	229.857254	1.106371	0.100000	75
5839.121961	231.109039	1.093001	0.100000	77
5841.173452	233.688904	1.059789	0.100000	79
5843.209702	236.073090	1.006401	0.100000	81
5845.233743	229.820175	0.996462	0.100000	83
5847.267684	231.914780	0.970743	0.100000	85
5849.323473	232.761276	0.966530	0.100000	87
5851.372198	239.223175	0.904425	0.100000	89
5853.411993	245.145004	0.847754	0.100000	91
5855.445980	246.133133	0.809710	0.100000	93
5857.475693	244.079391	0.786016	0.100000	95
5859.506302	242.892578	0.764755	0.100000	97
