crossing time (s)	slope (V/s)	crossing number
6275.499360	-77.216153	5548
6276.466246	-69.431986	5549
6277.532982	-79.012303	5550
6278.473322	-73.746882	5551
6279.592625	-76.849543	5552
6280.539510	-72.308703	5553
6281.624749	-74.995472	5554
6282.571692	-70.047553	5555
6283.642148	-74.027153	5556
6284.633898	-65.209140	5557
6285.702271	-70.474011	5558
6286.689479	-62.738871	5559
6287.722124	-69.067111	5560
6288.747109	-64.102137	5561
6289.808828	-66.688801	5562
6290.762374	-62.115413	5563
6291.822831	-63.347181	5564
6292.792845	-56.116968	5565
6293.872156	-59.626521	5566
6294.816099	-53.780011	5567
6295.918813	-58.719219	5568
6296.881002	-54.718102	5569
6297.977474	-58.432442	5570
6298.921912	-54.353459	5571
6300.011357	-54.561550	5572
6300.950906	-54.470658	5573
6302.054391	-55.645147	5574
6302.988680	-55.577209	5575
6304.061727	-54.526427	5576
6305.005886	-52.838265	5577
6306.137832	-54.172278	5578
6307.095836	-50.300601	5579
6308.172487	-53.577942	5580
6309.115594	-49.460253	5581
6310.207668	-51.869332	5582
6311.146827	-47.426075	5583
6312.242010	-50.059218	5584
6313.208829	-46.401637	5585
6314.277460	-50.302421	5586
6315.241281	-45.452904	5587
6316.331363	-48.404784	5588
6317.285212	-44.505833	5589
6318.369364	-46.415208	5590
6319.319890	-42.251090	5591
6320.415012	-44.377960	5592
6321.343046	-41.589072	5593
6322.462150	-43.712539	5594
6323.377756	-41.213527	5595
6324.479499	-43.137105	5596
6325.436843	-39.001099	5597
6326.510455	-42.841786	5598
6327.456557	-39.323109	5599
6328.547548	-40.996339	5600
6329.523058	-39.102645	5601
6330.624334	-40.338724	5602
6331.578207	-37.709729	5603
6332.648859	-38.707998	5604
6333.613300	-36.058597	5605
6334.705329	-38.639178	5606
6335.642399	-35.464084	5607
6336.727973	-37.765766	5608
6337.661161	-34.616466	5609
6338.781478	-36.780046	5610
6339.711427	-33.949585	5611
6340.827475	-35.487455	5612
6341.734000	-32.114096	5613
6342.856492	-34.025155	5614
6343.819960	-34.451086	5615
6344.909995	-34.087051	5616
6345.838010	-30.512871	5617
6346.938956	-31.958893	5618
6347.899163	-29.286680	5619
6348.985090	-31.982260	5620
6349.898478	-29.779943	5621
6351.046286	-31.307987	5622
6351.942987	-27.603455	5623
6353.079791	-31.693295	5624
6354.005069	-28.251610	5625
6355.117986	-30.217968	5626
6356.038626	-25.990100	5627
6357.145479	-29.010693	5628
6358.094918	-25.612564	5629
6359.196734	-28.430055	5630
6360.113889	-25.782746	5631
6361.213313	-28.834508	5632
6362.148598	-24.237536	5633
6363.271852	-27.921729	5634
6364.207516	-24.242838	5635
6365.327557	-25.545437	5636
6366.243574	-23.512843	5637
6367.357779	-26.541988	5638
6368.300337	-23.095237	5639
6369.387436	-25.085331	5640
6370.336484	-23.302250	5641
6371.435421	-25.059899	5642
6372.366836	-21.941467	5643
