time (s)	det(V)
6276.184657	0.697762	
6276.186248	0.647923	
6276.187927	0.704686	
6276.189524	0.691900	
6276.191181	0.794691	
6276.192763	0.727728	
6276.194419	0.759540	
6276.195988	0.744796	
6276.197705	0.748490	
6276.199234	0.789591	
6276.200938	0.848485	
6276.202460	0.818023	
6276.204183	0.848457	
6276.205663	0.862874	
6276.207442	0.905917	
6276.208925	0.918663	
6276.210704	0.956960	
6276.212181	0.979720	
6276.213957	1.017622	
6276.215432	1.042948	
6276.217188	1.067718	
6276.218682	1.117593	
6276.220417	1.146847	
6276.221929	1.164245	
6276.223645	1.184765	
6276.225177	1.269130	
6276.226888	1.265074	
6276.228430	1.356714	
6276.230116	1.341213	
6276.231671	1.371683	
6276.233360	1.389936	
6276.234932	1.473914	
6276.236582	1.468407	
6276.238190	1.538613	
6276.239846	1.571907	
6276.241459	1.619578	
6276.242986	1.625266	
6276.244568	1.623582	
6276.246062	1.625806	
6276.247692	1.625512	
6276.249179	1.625745	
6276.250798	1.625286	
6276.252291	1.625874	
6276.253929	1.625911	
6276.255420	1.625850	
6276.257008	1.625846	
6276.258539	1.625943	
6276.260073	1.625862	
6276.261685	1.625774	
6276.263180	1.625673	
6276.264810	1.626023	
6276.266306	1.626076	
6276.267947	1.625874	
6276.269429	1.626003	
6276.271145	1.625822	
6276.272615	1.625991	
6276.274345	1.625729	
6276.275818	1.625975	
6276.277516	1.625951	
6276.278992	1.625971	
6276.280682	1.625935	
6276.282161	1.625943	
6276.283846	1.625915	
6276.285341	1.626015	
6276.286998	1.626032	
6276.288533	1.625991	
6276.290262	1.625943	
6276.291802	1.626032	
6276.293490	1.626056	
6276.295035	1.626019	
6276.296715	1.625919	
6276.298289	1.625991	
6276.299956	1.626156	
6276.301547	1.625963	
6276.303177	1.625967	
6276.304796	1.625951	
6276.306436	1.625967	
6276.308038	1.625919	
6276.309660	1.626100	
6276.311310	1.625987	
6276.312899	1.626015	
6276.314568	1.625959	
6276.316139	1.625975	
6276.317814	1.626023	
6276.319374	1.626160	
6276.321089	1.625987	
6276.322647	1.626100	
6276.324337	1.625786	
6276.325891	1.626116	
6276.327599	1.626080	
6276.329124	1.626044	
6276.330860	1.625975	
6276.332341	1.625963	
6276.334097	1.626027	
6276.335585	1.625931	
6276.337350	1.626044	
6276.338833	1.625983	
6276.340591	1.626096	
6276.342078	1.626072	
6276.343824	1.625931	
6276.345318	1.625923	
6276.347054	1.625923	
6276.348567	1.625947	
6276.350283	1.625919	
6276.351807	1.626080	
6276.353499	1.625971	
6276.355045	1.625971	
6276.356743	1.626233	
6276.358300	1.626015	
6276.359989	1.626104	
6276.361577	1.625971	
6276.363232	1.626088	
6276.364820	1.625983	
6276.366464	1.626056	
6276.368062	1.626007	
6276.369682	1.626047	
6276.371325	1.625947	
6276.372944	1.625987	
6276.374584	1.625971	
6276.376180	1.626036	
6276.377823	1.625939	
6276.379397	1.626080	
6276.381093	1.625983	
6276.382641	1.625995	
6276.384333	1.626060	
6276.385868	1.626064	
6276.387571	1.625995	
6276.389097	1.625983	
6276.390833	1.626104	
6276.392324	1.626032	
6276.394101	1.626015	
6276.395578	1.626088	
6276.397345	1.626064	
6276.398826	1.626056	
6276.400596	1.626096	
6276.402069	1.626032	
6276.403836	1.626019	
6276.405361	1.626035	
6276.406852	1.626024	
6276.408419	1.625907	
6276.409903	1.626068	
6276.411564	1.625911	
6276.413057	1.625794	
6276.414691	1.625923	
6276.416218	1.625927	
6276.417834	1.625943	
6276.419311	1.625939	
6276.420936	1.626096	
6276.422422	1.625995	
6276.424030	1.625883	
6276.425532	1.626019	
6276.427126	1.625915	
6276.428639	1.625959	
6276.430296	1.625617	
6276.431815	1.625862	
6276.433444	1.625971	
6276.434987	1.625790	
6276.436587	1.625612	
6276.438181	1.625669	
6276.439731	1.622700	
6276.441337	1.545747	
6276.442839	1.402564	
6276.444534	1.352976	
6276.446009	1.188230	
6276.447725	1.057760	
6276.449195	0.953383	
6276.450899	0.866657	
6276.452415	0.729799	
6276.454140	0.609340	
6276.455622	0.502742	
6276.457376	0.411900	
6276.458868	0.285237	
6276.460659	0.173552	
6276.462136	0.070572	
6276.463915	-0.076925	
6276.465386	-0.178785	
6276.467129	-0.265200	
6276.468627	-0.398856	
6276.470333	-0.529531	
6276.471854	-0.609392	
6276.473549	-0.722612	
6276.475094	-0.814498	
6276.476782	-0.963018	
6276.478336	-1.033288	
6276.480029	-1.186626	
6276.481597	-1.260631	
6276.483243	-1.422875	
6276.484839	-1.470281	
6276.486477	-1.603578	
6276.488081	-1.627599	
6276.489719	-1.627534	
6276.491335	-1.627949	
6276.492960	-1.627993	
6276.494615	-1.627872	
6276.496200	-1.628046	
6276.497868	-1.627574	
6276.499434	-1.628034	
6276.501122	-1.628017	
6276.502678	-1.628018	
6276.504360	-1.627925	
6276.505900	-1.628050	
6276.507606	-1.627731	
6276.509152	-1.628215	
6276.510869	-1.627812	
6276.512369	-1.628070	
6276.514129	-1.627824	
6276.515608	-1.628038	
6276.517386	-1.627957	
6276.518865	-1.628046	
6276.520652	-1.628054	
6276.522134	-1.628090	
6276.523906	-1.627824	
6276.525392	-1.628090	
6276.527163	-1.627977	
6276.528666	-1.628142	
6276.530378	-1.627993	
6276.531887	-1.628130	
6276.533591	-1.628098	
6276.535117	-1.628187	
6276.536822	-1.627719	
6276.538374	-1.628058	
6276.540053	-1.627933	
6276.541627	-1.628211	
6276.543287	-1.627925	
6276.544858	-1.628138	
6276.546497	-1.628106	
6276.548086	-1.628215	
6276.549719	-1.628009	
6276.551349	-1.628255	
6276.552933	-1.628154	
6276.554582	-1.628251	
6276.556169	-1.628183	
6276.557842	-1.628215	
6276.559449	-1.628102	
6276.561127	-1.627530	
6276.562701	-1.627937	
6276.564410	-1.627840	
6276.565884	-1.628215	
6276.567456	-1.628259	
6276.568942	-1.628199	
6276.570570	-1.628026	
6276.572050	-1.628191	
6276.573633	-1.628191	
6276.575154	-1.628138	
6276.576701	-1.628251	
6276.578303	-1.628118	
6276.579797	-1.628259	
6276.581428	-1.628259	
6276.582938	-1.628134	
6276.584564	-1.628142	
6276.586044	-1.628154	
6276.587693	-1.628062	
6276.589158	-1.628066	
6276.590850	-1.628017	
6276.592329	-1.628126	
6276.594019	-1.628009	
6276.595506	-1.628054	
6276.597217	-1.628118	
6276.598700	-1.628158	
6276.600372	-1.628227	
6276.601894	-1.628223	
6276.603516	-1.627933	
6276.605079	-1.628090	
6276.606685	-1.627675	
6276.608243	-1.628126	
6276.609821	-1.627800	
6276.611429	-1.628211	
6276.613060	-1.627546	
6276.614674	-1.628243	
6276.616282	-1.627993	
6276.617934	-1.628066	
6276.619525	-1.628034	
6276.621206	-1.628054	
6276.622783	-1.628199	
6276.624437	-1.628058	
6276.626032	-1.628034	
6276.627724	-1.627893	
6276.629277	-1.628026	
6276.631000	-1.627905	
6276.632547	-1.627977	
6276.634261	-1.628013	
6276.635800	-1.628134	
6276.637510	-1.627744	
6276.639007	-1.628086	
6276.640763	-1.627445	
6276.642254	-1.628050	
6276.644036	-1.627788	
6276.645516	-1.627929	
6276.647302	-1.627594	
6276.648784	-1.627941	
6276.650554	-1.627800	
6276.652035	-1.628094	
6276.653797	-1.628054	
6276.655301	-1.628029	
6276.657054	-1.627921	
6276.658565	-1.628098	
6276.660292	-1.627546	
6276.661809	-1.628009	
6276.663501	-1.627828	
6276.665039	-1.628183	
6276.666716	-1.627731	
6276.668271	-1.628001	
6276.669926	-1.627671	
6276.671521	-1.628054	
6276.673173	-1.627808	
6276.674760	-1.627703	
6276.676411	-1.627574	
6276.678010	-1.625786	
6276.679638	-1.627119	
6276.681255	-1.623586	
6276.682845	-1.585994	
6276.684496	-1.489556	
6276.686068	-1.497294	
6276.687754	-1.390810	
6276.689331	-1.380799	
6276.691013	-1.304241	
6276.692564	-1.301063	
6276.694275	-1.206405	
6276.695802	-1.205636	
6276.697519	-1.155628	
6276.699011	-1.175959	
6276.700777	-1.092158	
6276.702256	-1.093850	
6276.704030	-1.045196	
6276.705516	-1.012438	
6276.707275	-0.947159	
6276.708758	-0.891745	
6276.710533	-0.882996	
6276.712015	-0.841996	
6276.713764	-0.813463	
6276.715265	-0.840086	
6276.716992	-0.785925	
6276.718516	-0.714922	
6276.720236	-0.761820	
6276.721775	-0.708944	
6276.723484	-0.664971	
6276.725040	-0.641188	
6276.726538	-0.654969	
6276.728199	-0.580404	
6276.729691	-0.604711	
6276.731306	-0.560513	
6276.732827	-0.565488	
6276.734447	-0.544834	
6276.735935	-0.492281	
6276.737574	-0.511995	
6276.739055	-0.440557	
6276.740690	-0.445359	
6276.742177	-0.451321	
6276.743787	-0.440086	
6276.745280	-0.388475	
6276.746854	-0.426643	
6276.748400	-0.414788	
6276.750006	-0.412190	
6276.751584	-0.364974	
6276.753153	-0.392971	
6276.754749	-0.363427	
6276.756278	-0.361030	
6276.757928	-0.325674	
6276.759405	-0.352083	
6276.761113	-0.297866	
6276.762589	-0.330769	
6276.764284	-0.319023	
6276.765759	-0.313512	
6276.767450	-0.279372	
6276.768938	-0.269817	
6276.770632	-0.295352	
6276.772120	-0.263811	
6276.773897	-0.284693	
6276.775379	-0.230569	
6276.777165	-0.246863	
6276.778652	-0.251436	
6276.780383	-0.271042	
6276.781896	-0.251013	
6276.783585	-0.239822	
6276.785109	-0.215128	
6276.786822	-0.233816	
6276.788369	-0.169786	
6276.790050	-0.187494	
6276.791599	-0.188501	
6276.793260	-0.195208	
6276.794846	-0.159332	
6276.796499	-0.194233	
6276.798089	-0.153680	
6276.799722	-0.191857	
6276.801327	-0.151288	
6276.802934	-0.191506	
6276.804594	-0.116201	
6276.806193	-0.153563	
6276.807851	-0.108064	
6276.809455	-0.161802	
6276.811125	-0.112177	
6276.812687	-0.123545	
6276.814382	-0.120769	
6276.815923	-0.146542	
6276.817631	-0.104869	
6276.819178	-0.114557	
6276.820871	-0.105010	
6276.822396	-0.082770	
6276.824112	-0.089131	
6276.825605	-0.085094	
6276.827377	-0.064284	
6276.828851	-0.072103	
6276.830632	-0.072119	
6276.832110	-0.059087	
6276.833874	-0.091028	
6276.835352	-0.047184	
6276.837111	-0.094339	
6276.838617	-0.058233	
6276.840369	-0.027099	
6276.841879	-0.016669	
6276.843608	-0.056078	
6276.845128	-0.006377	
6276.846825	-0.056401	
6276.848367	-0.010329	
6276.850035	-0.006345	
6276.851592	-0.000423	
6276.853268	-0.057907	
6276.854849	0.008322	
6276.856516	-0.040033	
6276.858101	-0.004596	
6276.859742	-0.007678	
6276.861346	0.061251	
6276.862960	-0.026724	
6276.864581	0.022788	
6276.866179	-0.006329	
6276.867850	0.045129	
6276.869433	-0.028267	
6276.871133	0.039083	
6276.872726	0.028182	
6276.874384	0.016697	
6276.875946	-0.008274	
6276.877649	0.056840	
6276.879185	-0.009926	
6276.880894	0.028980	
6276.882418	-0.007424	
6276.884152	0.006518	
6276.885636	0.013845	
6276.887187	0.028275	
6276.888712	0.056199	
6276.890192	0.059386	
6276.891755	0.049004	
6276.893264	0.024903	
6276.894893	0.011751	
6276.896373	0.038249	
6276.897994	-0.009185	
6276.899508	0.010260	
6276.901141	0.002409	
6276.902615	0.010091	
6276.904242	-0.001470	
6276.905717	0.022615	
6276.907345	0.036863	
6276.908825	0.060107	
6276.910449	0.016564	
6276.911963	0.023590	
6276.913635	0.002296	
6276.915178	0.008234	
6276.916788	-0.000161	
6276.918339	-0.009728	
6276.919927	-0.006860	
6276.921511	0.008129	
6276.923085	0.033810	
6276.924678	0.034176	
6276.926211	0.030660	
6276.927875	0.018124	
6276.929358	0.006220	
6276.931082	0.012552	
6276.932553	0.022422	
6276.934275	0.012371	
6276.935804	-0.007279	
6276.937519	-0.015308	
6276.939046	-0.012887	
6276.940790	0.036992	
6276.942279	0.030221	
6276.944031	0.034760	
6276.945527	0.026474	
6276.947305	0.003416	
6276.948788	0.016480	
6276.950563	-0.002494	
6276.952045	0.012830	
6276.953820	-0.022015	
6276.955307	0.039010	
6276.957045	0.052284	
6276.958557	0.024081	
6276.960284	-0.005430	
6276.961808	0.049754	
6276.963526	0.007050	
6276.965058	0.046487	
6276.966750	0.015465	
6276.968302	0.045145	
6276.969984	-0.011896	
6276.971556	0.029314	
6276.973228	0.022869	
6276.974805	0.025793	
6276.976446	0.020681	
6276.978033	0.057601	
6276.979652	0.010220	
6276.981245	0.064006	
6276.982864	0.017382	
6276.984527	0.042821	
6276.986095	-0.002880	
6276.987778	0.038140	
6276.989341	0.033665	
6276.991038	0.057162	
6276.992607	0.030382	
6276.994289	0.052151	
6276.995841	0.019815	
6276.997554	0.028247	
6276.999087	-0.008065	
6277.000806	0.036412	
6277.002300	0.044710	
6277.004051	0.013249	
6277.005526	0.059965	
6277.007296	0.076304	
6277.008778	0.057363	
6277.010560	0.068208	
6277.012044	0.068659	
6277.013824	0.034047	
6277.015305	0.052702	
6277.017055	0.020552	
6277.018559	0.071595	
6277.020292	0.022571	
6277.021813	0.023449	
6277.023506	0.049605	
6277.025040	0.079954	
6277.026706	0.053049	
6277.028281	0.076308	
6277.029964	0.028726	
6277.031532	0.027574	
6277.033197	0.002377	
6277.034766	0.037371	
6277.036411	0.009249	
6277.038020	0.004729	
6277.039641	0.027812	
6277.041269	0.055623	
6277.042888	0.023175	
6277.044531	0.113143	
6277.046130	0.019711	
6277.047754	0.024339	
6277.049248	0.062205	
6277.050801	0.040569	
6277.052306	0.049395	
6277.053922	0.029955	
6277.055419	0.041484	
6277.057020	0.053778	
6277.058530	0.031316	
6277.060103	0.010437	
6277.061671	0.054717	
6277.063158	0.045762	
6277.064820	0.009434	
6277.066308	0.053794	
6277.067933	0.022128	
6277.069464	0.036960	
6277.071096	0.030349	
6277.072576	0.022071	
6277.074216	0.038833	
6277.075698	0.005583	
6277.077388	0.016967	
6277.078876	0.049109	
6277.080570	0.030825	
6277.082051	-0.006647	
6277.083712	0.024392	
6277.085219	0.042773	
6277.086862	0.010949	
6277.088412	0.028939	
6277.090019	0.059523	
6277.091597	0.040255	
6277.093182	0.029229	
6277.094776	0.036984	
6277.096419	0.031078	
6277.098028	0.022365	
6277.099656	0.000782	
6277.101263	0.053673	
6277.102886	0.010719	
6277.104550	0.042519	
6277.106132	0.034515	
6277.107808	0.045564	
6277.109385	0.022768	
6277.111038	0.054584	
6277.112616	0.039030	
6277.114291	0.094299	
6277.115845	0.047437	
6277.117563	0.089433	
6277.119104	0.081207	
6277.120816	0.046789	
6277.122331	0.061911	
6277.124103	0.079773	
6277.125584	0.062407	
6277.127344	0.075886	
6277.128835	0.070512	
6277.130633	0.061931	
6277.132114	0.097945	
6277.133897	0.112350	
6277.135379	0.036915	
6277.137136	0.092808	
6277.138621	0.127158	
6277.140366	0.093336	
6277.141868	0.128528	
6277.143592	0.074935	
6277.145120	0.118139	
6277.146836	0.082218	
6277.148365	0.110473	
6277.150078	0.092510	
6277.151634	0.122251	
6277.153326	0.071853	
6277.154895	0.134401	
6277.156553	0.121961	
6277.158136	0.149161	
6277.159796	0.100668	
6277.161380	0.122964	
6277.163011	0.103810	
6277.164603	0.164082	
6277.166235	0.113083	
6277.167884	0.125240	
6277.169476	0.106082	
6277.171140	0.138349	
6277.172716	0.134792	
6277.174398	0.141543	
6277.175954	0.126675	
6277.177630	0.164190	
6277.179188	0.142546	
6277.180877	0.185315	
6277.182423	0.153793	
6277.184136	0.148786	
6277.185639	0.167103	
6277.187388	0.186652	
6277.188868	0.133060	
6277.190655	0.165512	
6277.192138	0.181061	
6277.193911	0.202689	
6277.195399	0.186926	
6277.197188	0.175445	
6277.198665	0.182402	
6277.200432	0.186793	
6277.201926	0.177460	
6277.203671	0.203156	
6277.205170	0.240410	
6277.206898	0.202496	
6277.208426	0.241059	
6277.210177	0.218230	
6277.211707	0.251029	
6277.213230	0.269156	
6277.214821	0.195369	
6277.216324	0.222432	
6277.217958	0.242150	
6277.219474	0.205549	
6277.221097	0.224583	
6277.222596	0.276182	
6277.224252	0.328558	
6277.225736	0.338254	
6277.227367	0.285032	
6277.228856	0.325770	
6277.230480	0.327660	
6277.231961	0.294817	
6277.233550	0.340558	
6277.235076	0.383049	
6277.236612	0.345755	
6277.238217	0.393901	
6277.239806	0.390481	
6277.241421	0.415691	
6277.242954	0.418530	
6277.244574	0.454395	
6277.246068	0.452018	
6277.247770	0.478504	
6277.249243	0.426418	
6277.250959	0.497337	
6277.252432	0.514622	
6277.254137	0.529446	
6277.255615	0.581403	
6277.257325	0.614839	
6277.258823	0.591986	
6277.260599	0.609988	
6277.262078	0.646848	
6277.263856	0.630464	
6277.265332	0.676544	
6277.267084	0.690088	
6277.268584	0.696416	
6277.270327	0.726145	
6277.271839	0.785168	
6277.273568	0.818430	
6277.275096	0.831296	
6277.276816	0.843023	
6277.278352	0.924089	
6277.280053	0.870178	
6277.281599	0.912068	
6277.283271	0.919815	
6277.284835	0.984783	
6277.286482	0.999374	
6277.288074	1.038678	
6277.289704	1.047702	
6277.291317	1.132018	
6277.292947	1.098237	
6277.294558	1.155564	
6277.296172	1.158198	
6277.297842	1.229331	
6277.299421	1.214164	
6277.301122	1.263257	
6277.302697	1.260453	
6277.304366	1.365202	
6277.305938	1.364174	
6277.307597	1.414669	
6277.309144	1.383768	
6277.310841	1.486035	
6277.312378	1.488118	
6277.314115	1.511817	
6277.315613	1.548353	
6277.317351	1.591219	
6277.318829	1.618362	
6277.320593	1.622096	
6277.322072	1.625770	
6277.323850	1.624553	
6277.325340	1.625830	
6277.327127	1.624622	
6277.328616	1.625782	
6277.330353	1.625242	
6277.331856	1.625939	
6277.333589	1.625717	
6277.335109	1.625971	
6277.336819	1.625963	
6277.338357	1.626003	
6277.340068	1.625435	
6277.341626	1.625987	
6277.343301	1.625951	
6277.344855	1.625895	
6277.346510	1.625854	
6277.348084	1.625947	
6277.349757	1.626024	
6277.351357	1.625967	
6277.352981	1.626011	
6277.354605	1.625923	
6277.356211	1.626140	
6277.357852	1.625911	
6277.359440	1.626100	
6277.361092	1.625939	
6277.362686	1.626007	
6277.364364	1.625931	
6277.365917	1.625975	
6277.367615	1.625991	
6277.369158	1.625919	
6277.370856	1.625931	
6277.372402	1.625983	
6277.374108	1.625923	
6277.375593	1.625935	
6277.377150	1.625923	
6277.378654	1.625983	
6277.380225	1.626068	
6277.381760	1.626100	
6277.383296	1.626019	
6277.384891	1.626104	
6277.386383	1.625935	
6277.388025	1.625898	
6277.389528	1.626084	
6277.391159	1.625903	
6277.392635	1.625919	
6277.394244	1.625923	
6277.395732	1.625923	
6277.397372	1.626056	
6277.398871	1.625979	
6277.400583	1.626068	
6277.402067	1.626019	
6277.403770	1.625923	
6277.405259	1.626044	
6277.406925	1.626011	
6277.408445	1.625987	
6277.410090	1.626019	
6277.411644	1.625886	
6277.413231	1.625987	
6277.414804	1.625975	
6277.416363	1.626104	
6277.417981	1.625959	
6277.419591	1.626068	
6277.421213	1.626036	
6277.422823	1.626108	
6277.424455	1.625955	
6277.426043	1.626060	
6277.427689	1.626048	
6277.429256	1.625939	
6277.430960	1.625878	
6277.432507	1.626084	
6277.434207	1.626056	
6277.435731	1.625935	
6277.437438	1.625886	
6277.438933	1.626080	
6277.440680	1.626011	
6277.442177	1.625890	
6277.443942	1.626080	
6277.445418	1.626080	
6277.447205	1.625963	
6277.448685	1.626015	
6277.450446	1.625951	
6277.451931	1.626031	
6277.453685	1.626076	
6277.455189	1.626076	
6277.456925	1.626007	
6277.458457	1.625971	
6277.460163	1.626036	
6277.461697	1.626019	
6277.463383	1.626003	
6277.464929	1.626011	
6277.466612	1.626007	
6277.468170	1.625983	
6277.469831	1.625923	
6277.471416	1.625838	
6277.473045	1.626019	
6277.474656	1.625987	
6277.476272	1.626136	
6277.477887	1.626027	
6277.479511	1.625890	
6277.481178	1.625927	
6277.482765	1.626023	
6277.484435	1.625911	
6277.486013	1.626003	
6277.487698	1.625959	
6277.489281	1.625955	
6277.490970	1.626011	
6277.492529	1.626024	
6277.494208	1.625995	
6277.495755	1.626100	
6277.497474	1.625967	
6277.498998	1.625963	
6277.500741	1.625834	
6277.502239	1.626011	
6277.504012	1.626036	
6277.505495	1.625979	
6277.507262	1.625709	
6277.508750	1.625939	
6277.510532	1.625874	
6277.512019	1.625834	
6277.513798	1.625105	
6277.515275	1.625874	
6277.517015	1.625399	
6277.518518	1.625423	
6277.520246	1.604887	
6277.521762	1.514519	
6277.523271	1.403338	
6277.524842	1.278464	
6277.526333	1.179988	
6277.527958	1.054171	
6277.529477	0.955268	
6277.531092	0.859079	
6277.532569	0.690873	
6277.534182	0.574688	
6277.535668	0.462862	
6277.537286	0.323921	
6277.538784	0.233079	
6277.540394	0.119037	
6277.541911	0.006808	
6277.543483	-0.163558	
6277.545022	-0.244821	
6277.546544	-0.386284	
6277.548152	-0.528475	
6277.549726	-0.643343	
6277.551341	-0.769002	
6277.552892	-0.927936	
6277.554533	-1.033272	
6277.556022	-1.130101	
6277.557712	-1.247007	
6277.559196	-1.377605	
6277.560935	-1.495498	
6277.562408	-1.580491	
6277.564105	-1.627752	
6277.565588	-1.627917	
6277.567276	-1.627486	
6277.568756	-1.628005	
6277.570509	-1.627727	
6277.571993	-1.628042	
6277.573747	-1.627784	
6277.575249	-1.628017	
6277.577004	-1.627599	
6277.578508	-1.628086	
6277.580240	-1.627977	
6277.581756	-1.628086	
6277.583477	-1.627893	
6277.585019	-1.628102	
6277.586698	-1.627977	
6277.588255	-1.628195	
6277.589919	-1.628030	
6277.591491	-1.628183	
6277.593161	-1.627534	
6277.594746	-1.628166	
6277.596390	-1.627973	
6277.597979	-1.628114	
6277.599619	-1.627965	
6277.601243	-1.628138	
6277.602856	-1.628110	
6277.604513	-1.628118	
6277.606090	-1.627937	
6277.607767	-1.628098	
6277.609350	-1.628142	
6277.611005	-1.627953	
6277.612570	-1.628142	
6277.614257	-1.627760	
6277.615790	-1.628175	
6277.617492	-1.627917	
6277.619031	-1.628150	
6277.620761	-1.628171	
6277.622273	-1.628255	
6277.624007	-1.628058	
6277.625489	-1.628070	
6277.627249	-1.628050	
6277.628743	-1.628130	
6277.630540	-1.627961	
6277.632021	-1.628166	
6277.633808	-1.627973	
6277.635284	-1.628005	
6277.637052	-1.627973	
