time (s)	det(V)
5831.102433	-1.628179	
5831.103960	-1.628340	
5831.105662	-1.628179	
5831.107211	-1.628187	
5831.108906	-1.628150	
5831.110461	-1.628380	
5831.112132	-1.628259	
5831.113714	-1.628231	
5831.115378	-1.628299	
5831.116977	-1.628239	
5831.118483	-1.628263	
5831.120142	-1.628324	
5831.121642	-1.628170	
5831.123286	-1.628243	
5831.124767	-1.628267	
5831.126410	-1.628243	
5831.127891	-1.628312	
5831.129538	-1.628251	
5831.131014	-1.628295	
5831.132649	-1.628130	
5831.134158	-1.628348	
5831.135724	-1.628126	
5831.137269	-1.628255	
5831.138768	-1.628195	
5831.140398	-1.628352	
5831.141952	-1.628058	
5831.143552	-1.628207	
5831.145076	-1.628118	
5831.146752	-1.628126	
5831.148231	-1.628082	
5831.149937	-1.628263	
5831.151410	-1.627957	
5831.153126	-1.628247	
5831.154600	-1.628074	
5831.156307	-1.627989	
5831.157794	-1.628102	
5831.159492	-1.628066	
5831.160983	-1.627985	
5831.162766	-1.628054	
5831.164252	-1.628118	
5831.166021	-1.627989	
5831.167512	-1.627997	
5831.169243	-1.627804	
5831.170752	-1.627772	
5831.172467	-1.561256	
5831.173994	-1.227965	
5831.175700	-1.001324	
5831.177244	-0.754428	
5831.178938	-0.506537	
5831.180484	-0.254880	
5831.182181	-0.022994	
5831.183753	0.274276	
5831.185441	0.504052	
5831.187026	0.809773	
5831.188664	1.021747	
5831.190280	1.302880	
5831.191923	1.522451	
5831.193532	1.623059	
5831.195165	1.626124	
5831.196784	1.625955	
5831.198377	1.626205	
5831.200051	1.626092	
5831.201624	1.626168	
5831.203313	1.626056	
5831.204895	1.626281	
5831.206585	1.626040	
5831.208158	1.626269	
5831.209852	1.626229	
5831.211415	1.626205	
5831.213119	1.626112	
5831.214655	1.626168	
5831.216383	1.626088	
5831.217896	1.626209	
5831.219634	1.626173	
5831.221108	1.626189	
5831.222885	1.626156	
5831.224375	1.626217	
5831.226173	1.626152	
5831.227647	1.626213	
5831.229425	1.626165	
5831.230904	1.626305	
5831.232658	1.626148	
5831.234160	1.626064	
5831.235897	1.626104	
5831.237407	1.626040	
5831.239138	1.626221	
5831.240665	1.626132	
5831.242372	1.626285	
5831.243902	1.626201	
5831.245609	1.626406	
5831.247169	1.626181	
5831.248860	1.626318	
5831.250418	1.626080	
5831.252086	1.626180	
5831.253680	1.626164	
5831.255354	1.626326	
5831.256936	1.626088	
5831.258586	1.626189	
5831.260175	1.626173	
5831.261803	1.626458	
5831.263435	1.626172	
5831.265040	1.626314	
5831.266714	1.626233	
5831.268285	1.626072	
5831.269971	1.626213	
5831.271551	1.626193	
5831.273233	1.626144	
5831.274716	1.626128	
5831.276280	1.626040	
5831.277767	1.626164	
5831.279402	1.626185	
5831.280905	1.626180	
5831.282497	1.626201	
5831.284016	1.626068	
5831.285577	1.626132	
5831.287171	1.626189	
5831.288672	1.626144	
