time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1196.363303	295.842499	1.348312	-0.100000	203
1198.399625	295.568207	1.335909	-0.100000	205
1200.439175	295.100403	1.327091	-0.100000	207
1202.476395	294.737427	1.317023	-0.100000	209
1204.512849	294.429108	1.306547	-0.100000	211
1206.551764	294.018677	1.293442	-0.100000	213
1208.590660	293.652252	1.283830	-0.100000	215
1210.628399	293.430267	1.274549	-0.100000	217
1212.666918	293.255402	1.264411	-0.100000	219
1214.706530	293.012817	1.253231	-0.100000	221
1216.745626	292.839966	1.243052	-0.100000	223
1218.784650	292.760162	1.234326	-0.100000	225
1220.824188	292.724731	1.224687	-0.100000	227
1222.864209	292.530304	1.215112	-0.100000	229
1224.903598	292.535492	1.203725	-0.100000	231
1226.943094	292.547882	1.192736	-0.100000	233
1228.983161	121.430733	1.159418	0.100000	235
1231.022474	116.421577	1.185533	0.100000	237
1233.061788	115.424622	1.184333	0.100000	239
1235.101042	117.652908	1.142164	0.100000	241
1237.140300	116.151680	1.130121	0.100000	243
1239.179784	119.315926	1.113363	0.100000	245
1241.218995	114.328262	1.160821	0.100000	247
1243.258235	114.399879	1.149031	0.100000	249
1245.298070	114.286705	1.137933	0.100000	251
1247.337942	114.839401	1.126495	0.100000	253
1249.378536	113.618431	1.121186	0.100000	255
1251.418212	113.740372	1.112251	0.100000	1
1253.459334	113.854660	1.114138	0.100000	3
1255.499781	113.016968	1.110685	0.100000	5
1257.540770	112.512741	1.104381	0.100000	7
1259.582006	112.171585	1.092118	0.100000	9
1261.623165	112.698151	1.081710	0.100000	11
1263.664910	111.664902	1.066451	0.100000	13
1265.706197	110.981148	1.048848	0.100000	15
1267.747382	110.593987	-0.960875	0.100000	17
1269.788557	134.193893	-1.108546	0.100000	19
1271.829219	102.541458	-1.047215	0.100000	21
1273.869312	110.610130	-0.964834	0.100000	23
1275.909040	110.543396	-0.953914	0.100000	25
1277.947550	110.702393	-0.948971	0.100000	27
1279.985334	112.364693	-0.964364	0.100000	29
1282.022990	105.898277	-0.791031	0.100000	31
1284.060999	110.143845	-0.834751	0.100000	33
1286.098659	110.768211	-0.846171	0.100000	35
1288.136300	122.181633	-0.856341	0.100000	37
1290.175091	119.753685	-0.859499	0.100000	39
1292.214838	102.419617	-0.831487	0.100000	41
1294.254345	111.015068	-0.854529	0.100000	43
1296.294692	110.678185	-0.883484	0.098603	45
1298.335218	108.443939	-0.825030	0.100000	47
1300.376814	107.363258	-0.778277	0.100000	49
1302.418724	110.851372	-0.859839	0.100000	51
1304.459685	108.907051	-0.800332	0.100000	53
1306.501249	109.179359	-0.810501	0.100000	55
1308.541359	109.545753	-0.813494	0.100000	57
1310.581138	109.504898	-0.806811	0.100000	59
1312.620106	109.541939	-0.799949	0.100000	61
1314.658660	109.626122	-0.794165	0.100000	63
1316.697106	109.557068	-0.794831	0.100000	65
1318.735269	120.158981	-1.000242	0.100000	67
1320.773165	127.069069	-0.920171	0.100000	69
1322.810950	104.635414	-0.844855	0.100000	71
1324.850191	88.386459	-0.760615	0.100000	73
1326.888736	94.475601	-0.719414	0.100000	75
1328.926922	91.379601	-0.621743	0.100000	77
1330.964834	95.979866	-0.622892	0.100000	79
1333.004314	108.819160	-0.738197	0.100000	81
1335.043116	108.772614	-0.730204	0.100000	83
1337.082535	108.738350	-0.723540	0.100000	85
1339.122591	109.427780	-0.723503	0.089776	87
1341.161836	109.347366	-0.715645	0.089298	89
1343.201794	109.352715	-0.710202	0.089363	91
1345.241834	109.387764	-0.703628	0.088818	93
1347.282092	109.380867	-0.697680	0.088481	95
1349.322579	109.429482	-0.689587	0.087982	97
1351.363013	109.479942	-0.681631	0.087371	99
1353.404980	109.463455	-0.673834	0.086825	101
1355.445620	109.474396	-0.667864	0.086468	103
1357.485406	109.543289	-0.661771	0.086224	105
1359.525183	108.114769	-0.643278	0.100000	107
1361.566405	108.160721	-0.637972	0.100000	109
1363.605061	108.016922	-0.634359	0.100000	111
1365.643645	107.951530	-0.629883	0.100000	113
1367.681689	108.065109	-0.787857	0.100000	115
1369.718917	109.020233	-0.625910	0.083906	117
