crossing time (s)	slope (V/s)	crossing number
1196.400160	97.041955	459
1197.378853	109.916466	460
1198.388224	108.803978	461
1199.419560	112.000282	462
1200.448393	107.880912	463
1201.461230	108.522691	464
1202.486853	100.709940	465
1203.488670	108.929133	466
1204.497431	107.572818	467
1205.514116	114.747570	468
1206.547931	108.814893	469
1207.599407	110.276764	470
1208.602790	102.838823	471
1209.624631	103.397155	472
1210.627490	100.502248	473
1211.657005	103.181293	474
1212.653488	105.351071	475
1213.709342	106.778433	476
1214.702026	102.949241	477
1215.732044	103.417895	478
1216.755567	98.970621	479
1217.787059	98.373286	480
1218.792346	98.721120	481
1219.805213	96.981809	482
1220.818831	100.146439	483
1221.854952	98.336801	484
1222.871992	98.866308	485
1223.908382	95.952245	486
1224.905220	93.893563	487
1225.930454	92.593226	488
1226.927990	93.961414	489
1227.959722	92.820571	490
1229.009819	93.872262	491
1230.024844	92.300853	492
1231.020976	92.257757	493
1232.040578	89.991804	494
1233.059615	90.244616	495
1234.100740	87.235283	496
1235.110413	87.616733	497
1236.117002	85.934237	498
1237.143670	87.199616	499
1238.176115	86.034920	500
1239.185731	85.569284	501
1240.215583	85.313306	502
1241.208026	81.765184	503
1242.240202	82.196225	504
1243.240403	80.940846	505
1244.304413	81.684175	506
1245.297871	79.648207	507
1246.336563	79.662677	508
1247.329734	79.273327	509
1248.374149	80.446832	510
1249.400892	77.203600	511
1250.411937	78.798218	512
1251.409477	74.964828	513
1252.445833	77.197801	514
1253.466557	74.725121	515
1254.493346	76.602828	516
1255.504805	72.196444	517
1256.543879	75.490017	518
1257.548392	71.473221	519
1258.564615	74.465866	520
1259.580923	71.105902	521
1260.591863	73.644335	522
1261.610419	68.818333	523
1262.647386	71.738739	524
1263.672557	67.623484	525
1264.677681	69.960879	526
1265.706237	67.327409	527
1266.725191	69.169231	528
1267.760162	66.662772	529
1268.749583	68.918923	530
1269.779755	65.101251	531
1270.787717	66.688462	532
1271.827583	64.065067	533
1272.821945	64.429273	534
1273.869936	63.997970	535
1274.863037	62.333989	536
1275.918708	63.243601	537
1276.935644	61.612819	538
1277.945467	61.465834	539
1278.952676	59.738868	540
1279.977729	60.800919	541
1280.989038	58.989828	542
1282.015610	60.006887	543
1283.030072	56.397144	544
1284.080004	59.683085	545
1285.068593	57.697548	546
1286.112090	57.453877	547
1287.123992	55.890296	548
1288.126201	58.298364	549
1289.166741	54.764207	550
1290.181530	56.500516	551
1291.174504	53.733853	552
1292.227301	54.058050	553
1293.229318	51.948462	554
1294.255061	53.249466	555
1295.279266	51.066008	556
1296.307280	52.894922	557
1297.325174	50.363545	558
1298.325185	51.525020	559
1299.353796	50.590517	560
1300.383194	52.009210	561
1301.376945	49.059222	562
1302.426896	49.165121	563
1303.415086	48.570334	564
1304.441055	49.317984	565
1305.464882	48.288678	566
1306.512638	47.936055	567
1307.508564	46.611635	568
1308.526596	47.082402	569
1309.541164	46.849215	570
1310.584194	45.745448	571
1311.580886	46.316286	572
1312.621929	44.568661	573
1313.617463	45.041595	574
1314.655072	43.172208	575
1315.659646	43.698045	576
1316.700434	42.722511	577
1317.698152	43.844065	578
1318.739144	42.172762	579
1319.738060	42.758196	580
1320.778008	40.832893	581
1321.764439	41.457576	582
1322.806786	40.067583	583
1323.835052	42.382144	584
1324.860093	40.251661	585
1325.863370	40.401189	586
1326.904457	39.247689	587
1327.910972	39.721482	588
1328.931454	37.855330	589
1329.938519	40.008444	590
1330.945738	37.127628	591
1331.988150	38.273662	592
1333.007353	36.892036	593
1334.017802	38.697697	594
1335.036996	35.244988	595
1336.066420	37.190898	596
1337.075942	35.294224	597
1338.096362	36.470954	598
1339.134346	34.757562	599
1340.146533	36.351199	600
1341.156662	34.491548	601
1342.190086	35.924529	602
1343.205626	33.070504	603
1344.201939	33.604824	604
1345.241869	32.531160	605
1346.248844	33.857466	606
1347.288277	32.487804	607
1348.283463	32.762727	608
1349.322099	31.170820	609
1350.330410	33.307267	610
1351.360879	31.772993	611
1352.345924	31.667056	612
1353.431319	29.494929	613
1354.413839	31.159132	614
1355.455100	28.894669	615
1356.447156	30.632771	616
1357.478215	29.123670	617
1358.472030	29.198217	618
1359.503132	28.168218	619
1360.508667	28.972462	620
1361.568449	28.235271	621
1362.562163	29.126620	622
1363.601994	28.207434	623
1364.599734	28.157242	624
1365.643787	27.597836	625
1366.632344	26.672533	626
1367.683800	26.537907	627
1368.668934	26.855471	628
1369.728442	27.071876	629
1370.726203	26.389913	630
1371.743046	26.545062	631
1372.759169	25.723010	632
1373.781911	25.725790	633
1374.798657	24.446139	634
1375.829320	26.546480	635
1376.845986	24.458952	636
1377.864500	25.126046	637
1378.884493	23.893904	638
1379.902638	24.029602	639
1380.919095	23.407186	640
1381.955236	24.503307	641
1382.955692	23.376560	642
1383.964620	23.411588	643
1385.000207	23.344039	644
1386.016335	22.718378	645
1387.049413	23.090620	646
1388.067684	22.740455	647
1389.077536	22.624266	648
1390.113553	22.155824	649
1391.102581	21.714661	650
1392.157020	22.106576	651
1393.149792	21.221681	652
1394.186096	21.377725	653
1395.170040	20.887714	654
1396.233876	20.786961	655
1397.215962	21.318002	656
1398.276463	21.016171	657
1399.243848	20.779681	658
1400.315945	19.615029	659
1401.289495	18.323728	660
1402.367086	19.661238	661
1403.319672	19.547255	662
1404.384188	19.472227	663
1405.374884	19.960085	664
1406.426910	18.589619	665
1407.414374	19.519053	666
1408.482811	17.738750	667
1409.454826	18.319087	668
1410.490446	18.337651	669
1411.481602	19.070777	670
1412.523947	18.582593	671
1413.524792	18.602399	672
1414.558579	17.062800	673
1415.570375	16.759245	674
1416.599043	16.413325	675
1417.608770	17.157292	676
1418.657745	16.422347	677
1419.640341	16.486555	678
1420.671696	16.028887	679
1421.690814	16.330298	680
1422.729970	15.950630	681
1423.728670	16.042243	682
1424.778661	15.411008	683
1425.756472	16.236119	684
1426.814892	16.377359	685
1427.806726	15.469113	686
1428.870319	15.629924	687
1429.833841	15.986898	688
1430.884803	15.404517	689
1431.871733	15.684857	690
1432.917636	14.395032	691
1433.910707	13.558059	692
1434.985935	13.618386	693
1435.972917	14.190595	694
1436.999882	13.843299	695
1437.997181	14.143937	696
1439.056375	13.701620	697
1440.045318	12.909270	698
1441.094974	13.150650	699
1442.064771	12.859210	700
1443.107603	12.122348	701
1444.099024	12.814817	702
1445.175076	12.964745	703
1446.160558	11.537091	704
1447.181676	13.603524	705
1448.187090	12.179379	706
1449.240392	11.905374	707
1450.235729	12.573141	708
1451.262676	12.681898	709
1452.258889	10.559828	710
1453.296342	11.379787	711
1454.320496	11.084710	712
1455.356797	12.501940	713
1456.373930	11.217225	714
1457.380516	11.960797	715
1458.399229	11.339972	716
1459.435486	11.186487	717
1460.414355	10.778548	718
1461.464006	10.975332	719
1462.474902	10.460830	720
1463.491655	11.293325	721
1464.494840	11.500565	722
1465.545420	9.936915	723
1466.553886	11.177193	724
1467.580108	12.142554	725
1468.570340	11.264840	726
1469.631228	12.072564	727
1470.626958	10.085297	728
1471.651357	11.779050	729
1472.670192	12.389660	730
1473.706021	12.452917	731
1474.684619	9.963293	732
1475.759008	8.145149	733
1476.733414	9.491468	734
1477.783121	9.027401	735
1478.774683	8.839629	736
1479.803267	9.879936	737
1480.799221	8.774558	738
1481.872080	8.961280	739
1482.835359	8.848526	740
1483.905899	8.724048	741
1484.869801	8.747925	742
1485.935367	8.119164	743
1486.920135	9.262078	744
1487.972870	8.775441	745
1488.949008	8.265705	746
1490.014056	8.310240	747
1491.001745	8.392108	748
1492.050052	8.432581	749
1493.025461	7.983460	750
1494.095923	7.297533	751
1495.074708	7.730847	752
1496.133832	8.433319	753
1497.121244	7.951899	754
1498.169877	7.957765	755
1499.168391	7.760040	756
1500.226708	7.502511	757
1501.179540	7.943275	758
1502.273874	7.261353	759
1503.235760	6.494711	760
1504.296668	6.610760	761
1505.267847	6.751865	762
1506.340779	7.305570	763
1507.307160	6.724376	764
1508.366872	5.584053	765
1509.333789	6.445636	766
1510.408850	7.389557	767
1511.370940	6.077507	768
1512.467900	5.750576	769
1513.410504	6.870875	770
1514.490582	6.552142	771
1515.438613	4.931542	772
1516.523777	6.492498	773
1517.483978	5.987484	774
1518.574378	6.061396	775
1519.544510	6.535937	776
1520.609212	6.717367	777
1521.575797	5.132879	778
1522.628728	7.365156	779
1523.614700	5.474459	780
1524.671055	5.542643	781
1525.659303	5.932793	782
1526.701282	6.052963	783
1527.698420	6.723742	784
1528.731932	6.387956	785
1529.743067	4.822660	786
1530.778380	5.602695	787
1531.783433	5.660731	788
1532.835711	5.884454	789
1533.804845	3.964452	790
1534.858086	4.855511	791
1535.876508	5.241240	792
1536.893104	6.201644	793
1537.900362	4.267419	794
1538.939435	4.676792	795
1539.968152	4.975950	796
1540.951124	5.000960	797
1541.936050	4.489459	798
1543.018289	4.594880	799
1543.988786	4.349172	800
1545.072137	4.859961	801
1546.017089	4.901215	802
1547.131984	5.114667	803
1548.070756	4.468671	804
1549.152816	4.259917	805
1550.101524	4.785344	806
1551.203130	4.796277	807
1552.140770	4.187829	808
1553.241592	4.191973	809
1554.156670	4.296027	810
1555.259082	2.915072	811
1556.205264	4.090405	812
1557.298500	5.430876	813
1558.258304	3.432353	814
1559.334801	4.557874	815
1560.302653	5.336918	816
1561.388637	4.959379	817
1562.350622	4.036962	818
1563.435942	3.467932	819
1564.363696	3.606670	820
1565.448839	4.265330	821
1566.418496	5.071741	822
1567.507273	3.715601	823
1568.459019	3.284849	824
1569.547507	2.614263	825
1570.464396	2.691781	826
1571.599135	3.713120	827
1572.539121	3.891285	828
1573.630679	3.485304	829
1574.560160	3.927622	830
1575.658610	3.178647	831
1576.596295	3.758823	832
1577.700033	4.376093	833
1578.623951	3.583272	834
1579.727408	3.226637	835
1580.658484	3.556633	836
1581.785852	3.061707	837
1582.722402	3.208216	838
1583.798389	2.962619	839
1584.706285	3.254879	840
1585.817885	2.152360	841
1586.791242	3.214402	842
1587.865156	3.265477	843
1588.833802	3.311813	844
1589.945955	2.695868	845
1590.857023	3.614129	846
1591.945441	2.768634	847
1592.917815	2.379665	848
1593.984696	3.526412	849
1594.963633	2.917554	850
1596.008485	3.241790	851
1596.995908	2.603594	852
1598.060240	2.695437	853
1599.056247	2.815945	854
1600.076876	2.504911	855
1601.096016	2.178805	856
