time (s)	magX	magY	magZ
2452.554418	-34.931622	106.748093	16.089422
2452.557712	-35.340733	108.793678	16.790766
2452.561048	-35.691410	110.780830	17.667446
2452.564380	-36.451199	112.943306	17.842781
2452.567706	-37.327877	116.099350	19.303915
2452.571041	-37.503216	118.203384	20.297487
2452.574371	-37.970776	120.599640	21.232613
2452.577707	-38.204556	123.814140	21.641729
2452.581037	-39.022793	126.093513	22.401520
2452.584377	-39.548801	128.255997	22.927526
2452.587706	-39.373463	131.002930	24.271770
2452.591035	-40.133251	134.042084	25.557568
2452.594376	-40.542370	137.198135	26.142021
2452.597719	-40.834599	139.945068	27.895382
2452.601037	-41.126827	143.101120	29.122734
2452.604372	-42.003506	146.607834	30.817648
2452.607704	-42.061954	150.173004	32.278786
2452.611043	-42.646404	153.153717	33.623028
2452.615677	-43.289303	160.985397	36.662186
2452.618567	-44.399761	164.550552	39.292225
2452.621891	-44.399761	169.050842	40.753361
2452.625239	-44.224430	173.142029	43.383400
2452.628611	-44.867329	177.174759	45.779659
2452.631989	-45.276447	182.142609	47.533020
2452.635298	-46.211575	185.883118	50.630627
2452.638553	-45.977795	191.610748	53.903564
2452.641472	-46.445354	196.286377	57.293396
2452.644797	-47.555813	201.371140	61.092342
2452.648131	-47.322033	206.748108	63.780830
2452.651461	-47.906483	212.066635	67.287552
2452.654786	-48.549389	217.677383	70.852715
2452.658119	-49.250729	223.697266	74.885452
2452.661026	-49.309170	229.366455	79.035065
2452.664366	-50.185856	234.801880	84.178261
2452.667696	-50.536526	240.237289	88.444763
2452.671050	-50.653416	246.724731	93.295731
2452.674389	-50.828754	253.095276	97.796028
2452.677724	-51.062534	259.524261	103.874344
2452.681035	-50.945644	266.245483	108.959091
2452.684361	-51.705433	272.674438	114.862061
2452.687700	-51.646992	279.863251	122.109299
2452.691026	-51.413212	286.584473	129.005844
2452.694366	-51.939213	293.247223	136.253067
2452.697696	-51.530102	300.143768	142.857391
2452.701071	-51.179424	307.391022	150.572189
2452.704366	-50.478077	314.872009	158.170074
2452.707694	-49.542957	321.651672	165.943298
2452.711028	-48.841610	329.249573	174.534775
2452.714372	-48.198711	336.613678	183.827576
2452.717698	-46.620686	343.860901	193.880188
2452.721019	-45.101109	351.575684	202.705429
2452.724363	-43.289303	359.991821	213.693176
2452.727693	-42.061954	367.239044	223.628876
2452.731026	-39.724140	375.596741	235.493286
2452.734366	-37.970776	382.551727	246.656342
2452.737692	-34.756283	390.909424	258.111633
2452.741028	-31.074223	397.806000	271.261841
2452.744372	-28.327297	405.637665	284.645813
2452.747719	-24.703686	413.352448	298.964935
2452.751025	-20.437172	420.774994	313.225616
2452.754360	-15.878437	427.788422	328.362946
2452.757696	-11.144360	433.574554	342.974274
2452.761020	-6.001167	439.769714	360.566345
2452.764355	-1.267097	445.614258	376.346588
2452.767693	4.694332	451.751007	394.523071
2452.771024	11.298656	455.959106	411.881378
2452.775649	25.383987	463.147888	450.455322
2452.778563	32.748100	466.537720	468.982483
2452.781894	41.514904	467.881927	490.782562
2452.785273	49.872589	469.459961	510.712463
2452.788649	58.464058	469.343109	531.518982
2452.791871	67.523087	469.109314	552.091797
2452.795209	77.049683	466.596130	573.833435
2452.798111	86.459381	464.492096	594.347717
2452.801456	96.804214	460.225586	615.914062
2452.804774	107.616608	455.433105	636.662170
2452.808103	118.779663	449.062561	658.286987
2452.811446	130.293396	440.646423	677.983093
2452.814798	142.099365	432.814758	698.964905
2452.818132	153.671539	421.885468	718.836304
2452.821017	166.997086	410.897736	739.175354
2452.824396	180.264175	397.981323	757.468750
2452.827684	193.063705	384.772644	777.106384
2452.831032	206.330795	370.687317	794.055542
2452.834349	220.007019	354.322601	810.653992
2452.837684	233.624786	337.431915	826.901855
2452.841014	247.300995	319.606079	842.565186
2452.844349	261.386322	300.962006	855.247803
2452.847677	274.945648	280.856812	866.703064
2452.851016	288.446503	260.284058	876.755737
2452.854348	301.772064	238.776154	887.392761
2452.857681	315.448273	217.092926	894.289307
