crossing time (s)	slope (V/s)	crossing number
2806.999760	150.798997	1959
2808.020805	151.523667	1960
2809.044353	149.753002	1961
2810.046517	152.042324	1962
2811.087698	147.967699	1963
2812.095287	148.788596	1964
2813.132013	151.730061	1965
2814.167470	146.824256	1966
2815.147554	142.284736	1967
2816.191609	135.792580	1968
2817.212456	139.423155	1969
2818.237762	137.127522	1970
2819.257423	135.477711	1971
2820.262488	128.378818	1972
2821.294229	129.090461	1973
2822.319786	125.943083	1974
2823.373163	122.333746	1975
2824.367779	121.403879	1976
2825.405923	116.541445	1977
2826.400167	114.420380	1978
2827.418000	106.544530	1979
2828.458476	101.232690	1980
2829.499644	96.731968	1981
2830.511892	94.236521	1982
2831.566669	93.128447	1983
2832.549733	88.448677	1984
2833.574276	85.835889	1985
2834.597504	81.309378	1986
2835.623149	76.970954	1987
2836.642217	73.709507	1988
2837.657163	72.445378	1989
2838.725189	66.054032	1990
2839.721232	61.845767	1991
2840.755754	63.133765	1992
2841.742302	58.879693	1993
2842.775786	57.452881	1994
2843.796384	53.946636	1995
2844.811317	53.493073	1996
2845.841554	50.256338	1997
2846.854983	49.057043	1998
2847.892601	46.411715	1999
2848.906487	44.672477	2000
2849.932058	42.335056	2001
2850.972636	40.776269	2002
2851.959050	37.702214	2003
2853.006560	36.000509	2004
2854.020315	35.364928	2005
2855.058769	34.158043	2006
2856.064006	32.248669	2007
2857.049501	33.247606	2008
2858.133769	31.680627	2009
2859.115595	25.713394	2010
2860.166375	29.761534	2011
2861.177931	22.075941	2012
2862.196700	20.780884	2013
2863.234469	21.699375	2014
2864.262771	23.263615	2015
2865.266300	21.927818	2016
2866.259600	21.666931	2017
2867.313034	19.501009	2018
2868.313415	18.937213	2019
2869.365525	17.748608	2020
2870.371906	16.070512	2021
2871.400333	16.168716	2022
2872.391165	14.743773	2023
2873.450000	14.417351	2024
2874.459036	13.982931	2025
2875.495656	13.063396	2026
2876.499549	12.001205	2027
2877.536964	12.023586	2028
2878.525850	10.810298	2029
2879.561687	10.736329	2030
2880.590828	10.237126	2031
2881.596528	10.759645	2032
2882.663185	9.282728	2033
2883.638670	9.851292	2034
2884.689100	8.772616	2035
2885.683105	6.889308	2036
2886.743313	7.416142	2037
2887.745222	6.750953	2038
2888.771104	7.742910	2039
2889.797024	8.274847	2040
2890.807180	7.061361	2041
2891.854122	5.201633	2042
2892.844212	4.818677	2043
2893.891450	5.260854	2044
2894.872090	6.411941	2045
2895.904613	4.655532	2046
2896.948714	5.798478	2047
2897.925733	4.524560	2048
2899.006140	3.853765	2049
2899.966053	4.257473	2050
2901.052084	3.306564	2051
2901.998095	4.797885	2052
2903.075675	4.438703	2053
2904.083317	3.456036	2054
2905.092695	4.577110	2055
2906.176106	3.089874	2056
2907.106361	1.631803	2057
2908.190702	1.822677	2058
