time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4221.724976	213.770874	-0.020216	0.100000	175
4223.768597	302.293091	1.483022	-0.014415	177
4225.811737	302.203674	1.464662	-0.014112	179
4227.853386	301.932800	1.447789	-0.013380	181
4229.894364	301.713196	1.429329	-0.012720	183
4231.934644	301.584076	1.407192	-0.011914	185
4233.975688	301.618652	1.385159	-0.011574	187
4236.017365	301.474701	1.363952	-0.011396	189
4238.060111	301.485138	1.341935	-0.010976	191
4240.103157	301.344147	1.322616	-0.010691	193
4242.147306	301.150879	1.302571	-0.010461	195
4244.190918	300.960205	1.287026	-0.010079	197
4246.232833	300.832581	1.270937	-0.009702	199
4248.271607	301.032623	1.256700	-0.009220	201
4250.309261	301.492279	1.238085	-0.009236	203
4252.348266	301.759644	1.217025	-0.009697	205
4254.390368	301.821259	1.191605	-0.010804	207
4256.436582	301.419556	1.168473	-0.011019	209
4258.483559	300.876770	1.148972	-0.010654	211
4260.528101	300.600616	1.133573	-0.009901	213
4262.568818	300.691193	1.119113	-0.009413	215
4264.607200	301.035950	1.103737	-0.009632	217
4266.644752	121.212868	-1.084728	0.009997	219
4268.684473	301.290985	1.065170	-0.010567	221
4270.725343	121.259483	-1.046704	0.010744	223
4272.766807	301.153839	1.028484	-0.010709	225
4274.808810	121.027138	-1.010614	0.010588	227
4276.850649	120.862938	-0.995116	0.010621	229
4278.892462	120.722000	-0.979014	0.010783	231
4280.934095	120.552589	-0.962025	0.010892	233
4282.976734	120.440910	-0.942900	0.010655	235
4285.021675	120.614166	-0.924463	0.010493	237
4287.067836	120.975731	-0.908145	0.010617	239
4289.114211	121.341003	-0.893419	0.011092	241
4291.158407	121.461967	-0.880470	0.011473	243
4293.198915	121.313751	-0.868371	0.011924	245
4295.235482	120.895645	-0.853890	0.011907	247
4297.271398	120.411270	-0.838490	0.011733	249
4299.309480	120.037735	-0.820672	0.011423	251
4301.350998	119.986137	-0.802091	0.011037	253
4303.396286	120.300751	-0.786035	0.010860	255
4305.442993	120.692734	-0.772698	0.011062	1
4307.489663	120.941940	-0.760252	0.011461	3
4309.533204	120.913879	-0.747791	0.011582	5
4311.576115	120.827904	-0.735763	0.011580	7
4313.618691	120.681549	-0.723081	0.011566	9
4315.660334	120.531479	-0.709379	0.011347	11
4317.702015	120.413704	-0.696364	0.011292	13
4319.742956	120.291710	-0.685356	0.011274	15
4321.783784	120.213882	-0.673529	0.011069	17
4323.822115	120.229034	-0.662093	0.010756	19
4325.857638	120.368904	-0.650477	0.010617	21
4327.893370	120.574867	-0.637647	0.010687	23
4329.930636	120.782188	-0.622793	0.010693	25
4331.970678	120.870522	-0.607848	0.010974	27
4334.016626	120.718185	-0.594013	0.011311	29
4336.065427	120.371300	-0.582485	0.011228	31
4338.113294	120.076897	-0.571738	0.010903	33
4340.159719	119.868439	-0.563021	0.010540	35
4342.201880	119.863129	-0.554537	0.010325	37
4344.240402	120.005005	-0.545275	0.010002	39
4346.275015	120.144066	-0.536257	0.010299	41
4348.312314	120.251396	-0.525455	0.010459	43
4350.348666	120.254105	-0.514960	0.010534	45
4352.387351	120.191261	-0.504591	0.010511	47
4354.426722	120.093880	-0.494088	0.010332	49
4356.466900	119.982506	-0.484021	0.010537	51
4358.509391	119.901733	-0.473245	0.010324	53
4360.552125	119.877998	-0.462967	0.009967	55
4362.598038	119.945068	-0.453476	0.009870	57
4364.644050	120.221451	-0.444330	0.009818	59
4366.692873	120.545837	-0.434826	0.009536	61
4368.739663	120.803665	-0.426289	0.009919	63
4370.785026	120.966736	-0.418007	0.010104	65
4372.824221	120.885323	-0.410544	0.010147	67
4374.859195	120.579849	-0.404609	0.010129	69
4376.891687	120.100677	-0.397935	0.009887	71
4378.922563	119.572952	-0.390701	0.009754	73
4380.957850	119.176277	-0.382552	0.009727	75
4382.995954	118.952866	-0.373696	0.009658	77
4385.039191	119.084442	-0.365653	0.009370	79
4387.084645	119.376640	-0.358179	0.009177	81
4389.135073	119.751312	-0.350456	0.009042	83
4391.181982	120.022690	-0.343319	0.009282	85
4393.230962	120.154396	-0.336740	0.009411	87
4395.272312	120.092247	-0.330154	0.009301	89
4397.314100	120.028572	-0.324318	0.009201	91
4399.356775	119.959465	-0.317969	0.009377	93
4401.394184	119.788284	-0.312946	0.008993	95
4403.430462	119.687424	-0.308117	0.009014	97
4405.466211	119.704224	-0.303001	0.008863	99
4407.496501	119.845558	-0.297795	0.008585	101
4409.526383	120.003899	-0.291843	0.008602	103
4411.564746	120.163284	-0.284421	0.009162	105
4413.608371	120.168854	-0.277262	0.009136	107
4415.655052	120.127937	-0.270545	0.009026	109
4417.703379	119.865112	-0.263903	0.009011	111
4419.757508	119.654915	-0.257234	0.008815	113
4421.810333	119.404846	-0.252146	0.008608	115
4423.860010	119.275299	-0.247475	0.008348	117
4425.904333	119.252121	-0.243656	0.008217	119
4427.939695	119.342155	-0.240394	0.008021	121
4429.980607	119.393654	-0.236972	0.008189	123
4432.012916	119.430283	-0.233093	0.008207	125
4434.046566	119.504158	-0.229095	0.008388	127
4436.077735	119.362930	-0.225164	0.008691	129
