time (s)	magX	magY	magZ
4050.247817	462.252502	310.819977	387.978363
4050.251139	462.720062	312.631775	384.646973
4050.254470	464.005859	314.969604	381.374023
4050.257829	464.940979	317.132080	377.282837
4050.260707	465.057861	320.112793	373.191681
4050.264062	465.876099	322.216827	368.399170
4050.267403	466.402100	324.905304	363.548187
4050.270731	467.103455	327.243134	359.983032
4050.274075	467.687897	329.697845	354.372253
4050.277390	467.746338	332.210999	349.345978
4050.280321	468.681488	334.782593	344.144348
4050.283622	469.499695	337.295746	338.299805
4050.286967	469.967285	340.159546	332.805939
4050.290293	470.025726	342.731171	327.136749
4050.293622	469.967285	345.127411	321.526001
4050.296947	470.376404	347.991211	314.863220
4050.300285	470.551727	350.621277	308.667999
4050.303617	470.668610	353.251312	301.771454
4050.306952	470.551727	355.881348	295.225586
4050.310289	470.025726	358.160736	288.270569
4050.313619	470.259521	361.024536	280.614258
4050.316954	470.025726	363.479248	273.308563
4050.320284	469.207489	365.641724	266.236694
4050.323643	468.915253	367.570435	257.352997
4050.326954	468.272339	370.083588	249.579742
4050.330300	467.629456	372.421417	241.864990
4050.333620	466.343658	374.466980	232.630585
4050.336947	465.642303	376.161896	224.331360
4050.340286	465.233215	377.389252	215.155457
4050.343618	464.356506	379.142609	206.856201
4050.346945	463.655182	380.194641	197.563385
4050.350281	462.603149	380.603729	188.153687
4050.353619	461.668030	382.357086	178.685547
4050.356948	461.083588	382.649323	168.516052
4050.360275	458.979553	383.409119	158.872559
4050.363615	457.752197	383.584442	149.112183
4050.366980	456.700165	383.642914	139.410278
4050.370285	455.355927	383.292206	129.591461
4050.373624	453.193451	383.292206	118.603729
4050.376943	451.732330	383.058441	108.551117
4050.380275	449.628296	382.181763	98.498535
4050.383609	447.582703	381.772644	89.264130
4050.386944	444.835754	380.603729	78.860901
4050.390277	443.023956	379.434845	68.048523
4050.393612	439.400360	377.097046	57.878998
4050.398253	432.562256	372.947418	35.962006
4050.401145	429.172424	369.849792	25.266479
4050.404455	425.198120	366.752197	14.570984
4050.407811	421.106964	363.771484	4.109253
4050.411184	416.781982	360.732300	-7.404480
4050.414523	411.580353	356.582703	-18.099915
4050.417878	405.911163	352.257751	-28.912354
4050.420727	400.767975	347.523651	-39.666260
4050.424034	395.098785	342.205139	-50.595581
4050.427366	389.312683	336.302155	-61.057312
4050.430703	383.526611	330.632965	-70.408569
4050.434027	376.571594	323.677948	-81.337830
4050.437364	369.558167	317.073639	-91.507324
4050.440275	362.836945	309.826416	-101.676819
4050.443606	355.472839	301.877838	-110.618958
