time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4203.331930	75.733185	2.097543	0.100000	167
4205.383480	75.918243	2.045559	0.100000	169
4207.430617	75.877312	1.994918	0.100000	171
4209.476270	76.034470	1.974172	0.100000	173
4211.519998	76.210472	1.964215	0.100000	175
4213.559961	76.184319	1.973954	0.100000	177
4215.597627	75.295708	1.970161	0.100000	179
4217.638859	74.534134	1.921644	0.100000	181
4219.686087	74.358887	1.869572	0.100000	183
4221.736117	74.396889	1.827731	0.100000	185
4223.785306	74.571312	1.781450	0.100000	187
4225.832421	74.771477	1.750834	0.100000	189
4227.878748	74.834778	1.726393	0.100000	191
4229.923369	74.859253	1.703743	0.100000	193
4231.966507	74.753326	1.678757	0.100000	195
4234.008302	74.758362	1.670873	0.100000	197
4236.048115	74.849030	1.658834	0.100000	199
4238.088309	75.341194	1.648822	0.100000	201
4240.132456	76.006577	1.640683	0.100000	203
4242.183622	76.647217	1.611045	0.100000	205
4244.238453	76.885017	1.576065	0.100000	207
4246.288634	76.828384	1.535068	0.100000	209
4248.335699	76.960945	1.506390	0.100000	211
4250.377964	77.154427	1.504554	0.100000	213
4252.415472	77.201584	1.503445	0.100000	215
4254.451796	41.070457	1.641748	0.100000	217
4256.490362	75.672958	1.455816	0.100000	219
4258.536136	75.319717	1.414676	0.100000	221
4260.584318	75.107758	1.376715	0.100000	223
4262.633607	75.128975	1.343424	0.100000	225
4264.680789	75.152763	1.322928	0.100000	227
4266.725792	75.210083	1.308198	0.100000	229
4268.767580	75.321404	1.293495	0.100000	231
4270.807664	75.590729	1.283468	0.100000	233
4272.846833	76.088806	1.276552	0.100000	235
4274.891767	76.782318	1.275842	0.100000	237
4276.944151	77.299294	1.257001	0.100000	239
4279.000191	77.417961	1.230754	0.100000	241
4281.054040	77.283134	1.200801	0.100000	243
4283.099952	77.300095	1.178743	0.100000	245
4285.142308	77.503662	1.175403	0.100000	247
4287.177296	77.488075	1.178565	0.100000	249
4289.209365	76.950523	1.165954	0.100000	251
4291.246987	76.214287	1.135106	0.100000	253
4293.291839	75.756111	1.099905	0.100000	255
4295.342059	75.427757	1.067610	0.100000	1
4297.389848	75.267876	1.044701	0.100000	3
4299.436101	75.315247	1.027978	0.100000	5
4301.479171	75.450974	1.019498	0.100000	7
4303.519289	75.806816	1.011312	0.100000	9
4305.557539	76.471931	1.011702	0.100000	11
4307.603270	77.146042	1.009643	0.100000	13
4309.657490	77.429970	1.001807	0.100000	15
4311.717502	77.153282	0.980333	0.100000	17
4313.773616	76.649826	0.958429	0.100000	19
4315.821365	76.406815	0.941067	0.100000	21
4317.860925	76.646645	0.942950	0.100000	23
4319.892725	76.919250	0.946198	0.100000	25
4321.922761	76.944740	0.940199	0.100000	27
4323.961140	76.473167	0.915616	0.100000	29
4326.002940	75.831779	0.882606	0.100000	31
4328.052854	75.453568	0.856230	0.100000	33
