crossing time (s)	slope (V/s)	crossing number
4203.312047	-110.741503	3751
4204.312369	-80.197902	3752
4205.367618	-102.125238	3753
4206.372176	-85.169212	3754
4207.432561	-95.455755	3755
4208.396245	-78.955496	3756
4209.467582	-95.743500	3757
4210.453303	-72.270595	3758
4211.533847	-93.534270	3759
4212.510200	-65.983528	3760
4213.571483	-89.991047	3761
4214.556975	-63.776155	3762
4215.588570	-87.290091	3763
4216.606286	-65.947144	3764
4217.632948	-82.521809	3765
4218.627291	-69.432923	3766
4219.692496	-78.985080	3767
4220.676093	-65.727626	3768
4221.729618	-75.634369	3769
4222.728604	-60.866564	3770
4223.779001	-70.368016	3771
4224.734712	-59.293529	3772
4225.843295	-67.920327	3773
4226.805235	-58.428739	3774
4227.873625	-66.471810	3775
4228.847087	-54.774852	3776
4229.932255	-63.718658	3777
4230.913139	-50.884205	3778
4231.976388	-60.843970	3779
4232.902386	-49.699195	3780
4234.011616	-57.767108	3781
4234.977554	-47.316231	3782
4236.060732	-57.144255	3783
4237.046652	-44.610424	3784
4238.101008	-54.736557	3785
4239.069612	-40.558317	3786
4240.144177	-52.800331	3787
4241.132024	-36.530860	3788
4242.192320	-50.556929	3789
4243.142938	-35.059730	3790
4244.227621	-47.636078	3791
4245.219264	-34.606511	3792
4246.297412	-46.166835	3793
4247.236958	-30.657190	3794
4248.328337	-45.044705	3795
4249.271033	-29.274200	3796
4250.378373	-42.083745	3797
4251.315673	-27.468591	3798
4252.437353	-41.038850	3799
4253.357791	-27.132925	3800
4254.433509	-38.963210	3801
4255.454551	-26.878091	3802
4256.489699	-36.762508	3803
4257.476351	-25.834783	3804
4258.525511	-34.841792	3805
4259.502672	-26.131611	3806
4260.599132	-34.319915	3807
4261.566894	-25.050692	3808
4262.643015	-32.264292	3809
4263.606545	-25.079976	3810
4264.687102	-30.875567	3811
4265.634903	-23.082324	3812
4266.719013	-28.887428	3813
4267.695591	-23.451662	3814
4268.771449	-28.105126	3815
4269.735900	-21.018425	3816
4270.799011	-27.611771	3817
4271.785029	-19.148946	3818
4272.855243	-26.537784	3819
4273.816572	-18.145816	3820
4274.895259	-25.614182	3821
4275.876177	-16.746016	3822
4276.941744	-24.674403	3823
4277.896190	-15.356228	3824
4279.004807	-22.885582	3825
4279.945854	-14.237103	3826
4281.042517	-22.398690	3827
4281.979246	-14.010985	3828
4283.116913	-21.537276	3829
4283.998167	-12.898617	3830
4285.136211	-20.388979	3831
4286.058211	-12.496311	3832
4287.186979	-19.284200	3833
4288.127895	-11.314358	3834
4289.230696	-19.348685	3835
4290.189361	-11.874907	3836
4291.257512	-17.662836	3837
4292.233024	-11.869993	3838
4293.299460	-17.821685	3839
4294.265308	-11.511218	3840
4295.348595	-15.664826	3841
4296.301607	-12.082007	3842
4297.403861	-15.364970	3843
4298.347718	-9.444040	3844
4299.441273	-14.216232	3845
4300.378510	-10.774598	3846
4301.482798	-13.750689	3847
4302.446257	-10.063753	3848
4303.518423	-14.370221	3849
4304.477803	-9.178186	3850
4305.564059	-12.829728	3851
4306.518885	-8.103854	3852
4307.607655	-11.644552	3853
4308.562973	-6.801566	3854
4309.655888	-11.327935	3855
4310.587478	-7.233108	3856
4311.705765	-11.411700	3857
4312.617690	-6.257114	3858
4313.767939	-10.296634	3859
4314.661961	-5.181218	3860
4315.818172	-11.284849	3861
4316.687531	-4.917240	3862
4317.867587	-10.545610	3863
4318.740015	-6.208205	3864
4319.907701	-10.197381	3865
4320.815113	-5.980545	3866
4321.926401	-8.888165	3867
4322.861126	-4.914876	3868
4323.943187	-8.683813	3869
4324.918254	-4.620484	3870
4326.006939	-8.581869	3871
4326.983445	-5.750847	3872
4328.038596	-8.884561	3873
4329.005479	-4.074244	3874
4330.090264	-7.817900	3875
