time (s)	det(V)
4342.844573	0.423534	
4342.846052	0.450072	
4342.847695	0.433250	
4342.849176	0.475354	
4342.850807	0.455119	
4342.852295	0.508233	
4342.854006	0.536592	
4342.855510	0.577254	
4342.857188	0.537334	
4342.858688	0.614254	
4342.860341	0.606641	
4342.861864	0.650022	
4342.863475	0.668604	
4342.865024	0.713113	
4342.866629	0.711748	
4342.868231	0.758484	
4342.869779	0.762251	
4342.871408	0.858914	
4342.873005	0.828662	
4342.874650	0.880244	
4342.876239	0.889115	
4342.877897	0.938865	
4342.879483	0.955763	
4342.881149	1.023600	
4342.882720	1.015648	
4342.884420	1.099047	
4342.885948	1.127398	
4342.887647	1.198844	
4342.889183	1.224440	
4342.890895	1.273191	
4342.892388	1.346107	
4342.894144	1.354410	
4342.895630	1.380231	
4342.897394	1.427999	
4342.898891	1.506245	
4342.900669	1.531302	
4342.902149	1.599171	
4342.903916	1.619393	
4342.905403	1.625762	
4342.907132	1.625673	
4342.908640	1.625878	
4342.910373	1.625073	
4342.911895	1.625999	
4342.913610	1.625983	
4342.915150	1.625931	
4342.916829	1.625741	
4342.918379	1.625923	
4342.920037	1.625903	
4342.921598	1.625903	
4342.923241	1.626092	
4342.924838	1.625923	
4342.926461	1.625999	
4342.928076	1.625983	
4342.929707	1.626124	
4342.931331	1.625943	
4342.932946	1.626080	
4342.934584	1.625838	
4342.936179	1.626040	
4342.937857	1.625697	
4342.939417	1.626056	
4342.941111	1.626003	
4342.942658	1.625963	
4342.944352	1.625891	
4342.945897	1.626088	
4342.947611	1.625999	
4342.949146	1.626019	
4342.950881	1.626044	
4342.952370	1.626072	
4342.954126	1.625883	
4342.955607	1.625991	
4342.957393	1.626104	
4342.958871	1.626128	
4342.960645	1.626023	
4342.962126	1.625951	
4342.963896	1.626152	
4342.965393	1.626011	
4342.967128	1.626048	
4342.968638	1.625955	
4342.970363	1.626068	
4342.971875	1.626011	
4342.973597	1.626120	
4342.975146	1.625999	
4342.976836	1.626060	
4342.978395	1.625955	
4342.980044	1.626060	
4342.981625	1.625987	
4342.983294	1.626019	
4342.984864	1.625967	
4342.986504	1.625923	
4342.988101	1.625987	
4342.989619	1.626007	
4342.991253	1.625967	
4342.992735	1.626040	
4342.994393	1.626044	
4342.995866	1.625979	
4342.997502	1.626039	
4342.998978	1.625979	
4343.000616	1.626019	
4343.002099	1.626023	
4343.003685	1.625995	
4343.005222	1.626116	
4343.006770	1.625979	
4343.008374	1.626096	
4343.009861	1.626032	
4343.011523	1.626003	
4343.013008	1.626048	
4343.014650	1.626035	
4343.016122	1.625955	
4343.017853	1.625955	
4343.019327	1.625983	
4343.021035	1.626003	
4343.022514	1.626048	
4343.024217	1.626048	
4343.025713	1.626064	
4343.027432	1.626136	
4343.028920	1.625967	
4343.030619	1.626136	
4343.032097	1.625971	
4343.033765	1.626019	
4343.035268	1.626028	
4343.036987	1.626080	
4343.038515	1.625975	
4343.040215	1.626040	
4343.041769	1.626072	
4343.043475	1.626193	
4343.045035	1.625959	
4343.046720	1.626023	
4343.048282	1.625911	
4343.049934	1.625919	
4343.051514	1.625991	
4343.053146	1.626019	
4343.054741	1.625939	
4343.056340	1.625991	
4343.057996	1.625963	
4343.059573	1.626003	
4343.061245	1.625907	
4343.062828	1.625975	
4343.064475	1.626011	
4343.066059	1.626023	
4343.067764	1.625979	
4343.069316	1.626044	
4343.071029	1.625733	
4343.072560	1.626040	
