time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1790.752818	256.083862	1.929735	0.100000	147
1792.800223	256.784241	1.727332	0.100000	149
1794.844643	257.648163	1.526406	0.100000	151
1796.890722	258.108856	1.344296	0.100000	153
1798.940461	257.110748	1.187154	0.100000	155
1800.992341	255.638519	1.041866	0.100000	157
1803.046227	256.347504	0.880629	0.062299	159
1805.099979	256.105438	0.767639	0.052246	161
1807.145526	255.918564	0.673449	0.046908	163
1809.189022	255.859253	0.589366	0.046351	165
1811.221214	256.543518	0.507341	0.041247	167
1813.252477	257.063660	0.430261	0.035690	169
