crossing time (s)	slope (V/s)	crossing number
2007.014133	-128.716279	1155
2007.981662	-127.930687	1156
2009.031452	-119.272301	1157
2010.036419	-107.360217	1158
2011.111199	-111.441319	1159
2012.034503	-101.551415	1160
2013.144921	-99.451518	1161
2014.102985	-82.267266	1162
2015.200887	-83.362749	1163
2016.137877	-70.964648	1164
2017.245637	-73.737240	1165
2018.219676	-64.566955	1166
2019.281668	-65.029976	1167
2020.287617	-56.255629	1168
2021.338101	-54.279438	1169
2022.309366	-46.338545	1170
2023.395225	-46.722471	1171
2024.365077	-39.233707	1172
2025.437164	-40.597107	1173
2026.415244	-34.691809	1174
2027.496018	-36.172440	1175
2028.441922	-29.581930	1176
2029.516718	-30.443712	1177
2030.499816	-24.409874	1178
2031.603829	-26.504209	1179
2032.538249	-20.868313	1180
2033.642882	-21.479492	1181
2034.576353	-19.153458	1182
2035.681300	-17.418258	1183
2036.636118	-15.252527	1184
2037.736525	-16.009605	1185
2038.678692	-12.161715	1186
2039.770011	-13.797273	1187
2040.726913	-10.266705	1188
2041.822810	-10.677709	1189
2042.761671	-10.628851	1190
2043.877441	-9.843870	1191
2044.791599	-7.591371	1192
2045.947468	-7.017184	1193
2046.820261	-6.843639	1194
2048.025544	-6.436508	1195
2048.843579	-4.893069	1196
2050.056089	-5.735552	1197
2050.922909	-4.166159	1198
2052.089010	-5.085382	1199
2052.971441	-3.222733	1200
