time (s)	det(V)
2166.908272	0.967925	
2166.909756	1.021425	
2166.911540	1.063618	
2166.913025	1.069736	
2166.914802	1.086595	
2166.916309	1.149687	
2166.918033	1.120961	
2166.919545	1.173687	
2166.921266	1.193813	
2166.922802	1.238056	
2166.924501	1.227764	
2166.926059	1.307061	
2166.927741	1.326727	
2166.929296	1.409433	
2166.930981	1.383217	
2166.932554	1.464399	
2166.934217	1.450594	
2166.935808	1.487997	
2166.937442	1.527507	
2166.939067	1.582014	
2166.940662	1.609246	
2166.942303	1.622313	
2166.943920	1.625850	
2166.945554	1.625181	
2166.947168	1.625995	
2166.948852	1.625568	
2166.950413	1.625907	
2166.952096	1.624827	
2166.953653	1.626144	
2166.955354	1.625592	
2166.956912	1.626064	
2166.958608	1.625842	
2166.960154	1.626189	
2166.961873	1.625830	
2166.963404	1.625983	
2166.965147	1.625903	
2166.966628	1.626003	
2166.968403	1.625915	
2166.969887	1.626136	
2166.971637	1.626007	
2166.973116	1.625971	
2166.974858	1.625983	
2166.976359	1.625967	
2166.978120	1.626035	
2166.979623	1.625890	
2166.981363	1.626032	
2166.982887	1.625919	
2166.984590	1.626040	
2166.986120	1.625995	
2166.987814	1.625971	
2166.989362	1.625935	
2166.991048	1.626100	
2166.992628	1.626032	
2166.994295	1.625991	
2166.995875	1.626027	
2166.997541	1.626044	
2166.999151	1.626003	
2167.000647	1.626080	
2167.002300	1.626023	
2167.003797	1.626019	
2167.005445	1.626064	
2167.006923	1.626076	
2167.008555	1.626116	
2167.010035	1.625959	
2167.011661	1.625975	
2167.013138	1.625927	
2167.014770	1.625991	
2167.016291	1.626015	
2167.017841	1.626064	
2167.019402	1.625979	
2167.020903	1.625963	
2167.022525	1.625935	
2167.024084	1.626120	
2167.025710	1.626076	
2167.027239	1.625995	
2167.028902	1.625979	
2167.030384	1.626064	
2167.032080	1.625979	
2167.033558	1.626047	
2167.035255	1.625943	
2167.036749	1.626015	
2167.038457	1.626015	
2167.039956	1.626156	
2167.041664	1.626132	
2167.043145	1.626176	
2167.044936	1.625987	
2167.046415	1.625979	
2167.048140	1.625931	
2167.049641	1.626076	
2167.051386	1.626064	
2167.052902	1.626092	
2167.054642	1.626152	
2167.056171	1.626112	
2167.057886	1.626112	
2167.059425	1.626100	
2167.061138	1.626221	
2167.062693	1.626048	
2167.064381	1.626140	
2167.065934	1.626011	
2167.067608	1.626116	
2167.069190	1.626027	
2167.070854	1.626136	
2167.072443	1.626015	
2167.074087	1.626330	
2167.075695	1.626035	
2167.077310	1.626096	
2167.078938	1.626072	
2167.080530	1.626108	
2167.082212	1.626015	
2167.083790	1.626217	
2167.085466	1.625971	
2167.087051	1.626168	
2167.088739	1.626140	
2167.090296	1.626108	
2167.092007	1.626052	
2167.093541	1.626040	
2167.095256	1.626027	
2167.096786	1.626064	
2167.098512	1.625987	
2167.100024	1.626027	
2167.101769	1.626003	
2167.103260	1.625935	
2167.105041	1.626064	
2167.106521	1.625963	
2167.108295	1.625862	
2167.109772	1.626100	
2167.111552	1.625822	
2167.113035	1.625874	
2167.114767	1.625979	
2167.116272	1.626027	
2167.117987	1.625943	
2167.119514	1.626011	
2167.121216	1.625927	
2167.122756	1.625895	
2167.124456	1.625673	
2167.126014	1.625967	
2167.127685	1.625701	
2167.129249	1.625866	
2167.130913	1.624799	
2167.132506	1.549461	
2167.134151	1.289087	
2167.135762	1.121057	
2167.137399	0.915520	
2167.139011	0.795049	
2167.140613	0.562974	
2167.142247	0.431925	
2167.143828	0.210794	
2167.145512	0.056900	
2167.147092	-0.184320	
2167.148768	-0.306821	
2167.150348	-0.548001	
2167.152026	-0.725557	
2167.153514	-0.929027	
2167.155073	-1.094926	
2167.156592	-1.227884	
2167.158219	-1.440950	
2167.159736	-1.576568	
2167.161318	-1.627542	
2167.162855	-1.627997	
2167.164409	-1.628102	
2167.165986	-1.627889	
2167.167473	-1.628231	
2167.169129	-1.628098	
2167.170632	-1.628094	
2167.172264	-1.628158	
2167.173782	-1.628183	
2167.175412	-1.628170	
2167.176894	-1.628134	
2167.178603	-1.628086	
2167.180084	-1.628042	
2167.181809	-1.628114	
2167.183292	-1.628102	
2167.184984	-1.627949	
2167.186465	-1.628146	
2167.188165	-1.628090	
2167.189664	-1.628251	
2167.191311	-1.628126	
2167.192839	-1.628247	
2167.194460	-1.628026	
2167.196027	-1.628195	
2167.197718	-1.628102	
2167.199281	-1.628255	
2167.200959	-1.628098	
2167.202531	-1.628368	
2167.204211	-1.628030	
2167.205808	-1.628183	
2167.207461	-1.628146	
2167.209078	-1.628259	
2167.210698	-1.628134	
2167.212320	-1.628299	
2167.213943	-1.628295	
2167.215574	-1.628287	
2167.217170	-1.628267	
2167.218814	-1.628215	
2167.220390	-1.628167	
2167.222084	-1.628307	
2167.223636	-1.628304	
2167.225354	-1.628295	
2167.226902	-1.628287	
2167.228585	-1.628118	
2167.230127	-1.628203	
2167.231838	-1.628275	
2167.233349	-1.628235	
2167.235122	-1.628110	
2167.236605	-1.628154	
2167.238374	-1.628126	
2167.239853	-1.628211	
2167.241634	-1.628110	
2167.243121	-1.628308	
2167.244894	-1.628195	
2167.246383	-1.628191	
2167.248154	-1.628030	
2167.249641	-1.628307	
2167.251389	-1.628167	
2167.252892	-1.628163	
2167.254612	-1.628110	
2167.256140	-1.628271	
2167.257848	-1.628054	
2167.259391	-1.628360	
2167.261092	-1.627997	
2167.262653	-1.628303	
2167.264334	-1.628090	
2167.265896	-1.628283	
2167.267567	-1.628211	
2167.269135	-1.628247	
2167.270775	-1.628058	
2167.272385	-1.628356	
2167.274007	-1.627889	
2167.275635	-1.628271	
2167.277225	-1.628211	
2167.278884	-1.627961	
2167.280483	-1.628199	
2167.282133	-1.628066	
2167.283718	-1.628150	
2167.285398	-1.628138	
2167.286954	-1.627953	
2167.288670	-1.628021	
2167.290205	-1.628215	
2167.291910	-1.628118	
2167.293450	-1.628146	
2167.295167	-1.628199	
2167.296688	-1.628126	
2167.298418	-1.628122	
2167.299902	-1.628094	
2167.301453	-1.628247	
2167.302962	-1.628138	
2167.304544	-1.628102	
2167.306077	-1.628134	
2167.307601	-1.628094	
2167.309238	-1.628013	
2167.310737	-1.628070	
2167.312362	-1.628142	
2167.313886	-1.627997	
2167.315526	-1.628154	
2167.317026	-1.628199	
2167.318677	-1.628110	
2167.320149	-1.628046	
2167.321862	-1.628114	
2167.323349	-1.627997	
2167.325056	-1.628162	
2167.326541	-1.628054	
2167.328244	-1.627905	
2167.329728	-1.628150	
2167.331407	-1.627433	
2167.332911	-1.628070	
2167.334547	-1.627377	
2167.336093	-1.627993	
2167.337702	-1.627578	
2167.339275	-1.627893	
2167.340959	-1.625359	
2167.342537	-1.627047	
2167.344200	-1.626958	
2167.345774	-1.542069	
2167.347428	-1.503276	
2167.349038	-1.400675	
2167.350655	-1.378942	
2167.352281	-1.307798	
2167.353906	-1.289566	
2167.355573	-1.201217	
2167.357177	-1.191444	
2167.358817	-1.126004	
2167.360397	-1.107901	
2167.362081	-1.037969	
2167.363630	-1.032785	
2167.365328	-0.975857	
2167.366864	-0.933446	
2167.368568	-0.902670	
2167.370128	-0.913256	
2167.371816	-0.830660	
2167.373332	-0.815920	
2167.375100	-0.801632	
2167.376572	-0.769329	
2167.378347	-0.729493	
2167.379829	-0.683691	
2167.381601	-0.658614	
2167.383081	-0.657809	
2167.384851	-0.635536	
2167.386331	-0.605799	
2167.388082	-0.603869	
2167.389599	-0.564299	
2167.391351	-0.599857	
2167.392864	-0.528923	
2167.394567	-0.498754	
2167.396096	-0.481558	
2167.397803	-0.475825	
2167.399347	-0.481618	
2167.401014	-0.451075	
2167.402578	-0.412274	
2167.404254	-0.430152	
2167.405829	-0.394107	
2167.407481	-0.395722	
2167.409068	-0.386276	
2167.410703	-0.360289	
2167.412296	-0.301902	
2167.413904	-0.336969	
2167.415569	-0.322580	
2167.417156	-0.304730	
2167.418819	-0.297463	
2167.420414	-0.303111	
2167.422071	-0.206758	
2167.423655	-0.263553	
2167.425339	-0.241631	
2167.426894	-0.221324	
2167.428609	-0.200010	
2167.430137	-0.205888	
2167.431866	-0.165790	
2167.433394	-0.178652	
2167.435136	-0.171139	
2167.436634	-0.175566	
2167.438387	-0.170877	
2167.439878	-0.146534	
2167.441653	-0.128411	
2167.443133	-0.130417	
2167.444907	-0.100700	
2167.446407	-0.080389	
2167.447905	-0.112237	
2167.449474	-0.066347	
2167.451014	-0.070347	
2167.452634	-0.089658	
2167.454116	-0.107979	
2167.455790	-0.060928	
2167.457281	-0.058249	
2167.458922	-0.033274	
2167.460449	-0.028343	
2167.462072	-0.033310	
2167.463549	-0.003344	
2167.465194	-0.043679	
2167.466673	0.029947	
2167.468307	-0.007162	
2167.469790	-0.003642	
2167.471472	-0.012029	
2167.472971	0.009438	
2167.474618	0.015614	
2167.476143	0.045987	
2167.477759	0.032432	
2167.479318	0.036456	
2167.480928	0.012178	
2167.482508	0.061851	
2167.484095	0.053947	
2167.485717	0.066979	
2167.487257	0.018099	
2167.488900	0.061319	
2167.490487	0.047361	
2167.492153	0.062846	
2167.493730	0.031506	
2167.495435	0.072345	
2167.497010	0.033516	
2167.498688	0.084756	
2167.500252	0.074190	
2167.501939	0.052066	
2167.503483	0.039623	
2167.505202	0.087717	
