time (s)	magX	magY	magZ
3705.238131	364.590302	354.186432	343.793671
3705.242732	361.668030	359.037415	332.513733
3705.246090	361.200470	361.258331	327.370544
3705.248998	359.622437	363.771484	321.409088
3705.252355	358.219757	366.284637	316.499695
3705.255721	356.817078	368.797791	310.421387
3705.259057	355.122162	370.843353	303.992371
3705.262358	353.602570	373.298065	297.621826
3705.265661	351.673889	374.525421	292.361755
3705.268559	349.569855	377.213898	286.458801
3705.271922	346.647583	378.207489	279.796021
3705.275221	344.485107	380.253082	273.951477
3705.278556	341.679718	382.415558	267.756256
3705.281905	339.283478	383.759796	260.509033
3705.285224	336.185852	385.337830	253.670929
3705.288596	333.731140	386.682068	247.183502
3705.291502	330.867340	387.850983	239.293365
3705.294786	327.711273	389.019867	231.344818
3705.298120	324.379883	389.779663	223.104004
3705.301460	321.632965	390.597900	215.506104
3705.304791	318.067810	391.240814	206.797760
3705.308121	314.677979	391.065460	198.206299
3705.311457	311.171265	390.714783	188.738129
3705.314828	307.489197	390.364105	179.854462
3705.318124	304.274689	390.188782	170.386292
3705.321454	300.767975	390.013458	161.035034
3705.324795	296.910583	388.786102	150.807098
3705.328117	293.286987	386.798950	140.520721
3705.331455	289.312683	385.162506	130.409668
3705.334788	285.046173	382.590881	119.597290
3705.338118	281.071899	380.311523	108.025116
3705.341455	276.571594	376.980133	98.381653
3705.344791	272.714203	373.356537	87.686157
3705.348115	268.798370	369.323792	76.873718
3705.351446	264.239624	363.946808	66.528931
3705.354802	259.388672	359.621857	56.359436
3705.358151	255.005264	354.770905	45.313263
3705.361448	250.329636	348.926361	35.552856
3705.364791	245.069550	343.257172	25.675629
3705.368114	240.335480	336.652863	15.681458
3705.371451	235.484528	329.697845	6.271729
3705.374785	231.218018	323.210388	-2.261292
3705.378116	224.905914	315.554047	-10.502075
3705.381444	220.171829	308.014587	-18.275269
3705.384784	214.561081	300.592041	-27.334351
3705.388120	209.300995	292.292786	-33.529541
3705.391444	203.865585	283.701324	-41.302734
3705.394783	198.079498	275.285217	-47.556396
3705.398112	192.877853	266.576843	-53.167175
3705.401441	186.682648	257.167145	-58.953247
3705.406120	175.928696	237.529510	-69.940979
3705.409033	170.551727	228.119812	-73.506165
3705.412299	164.356522	218.300995	-77.305115
3705.415622	159.037994	208.073059	-81.162537
3705.418953	154.070145	197.377563	-84.844543
3705.422308	148.459396	186.156036	-87.474609
3705.425662	143.140869	175.168320	-89.695496
3705.429030	137.530090	163.596130	-91.974915
3705.431886	131.919342	152.666855	-93.143799
3705.435199	127.419052	140.744019	-92.793152
3705.438563	122.451218	128.528931	-93.845154
3705.441868	118.593811	116.781410	-92.968506
3705.445205	113.625961	104.332550	-92.851562
3705.448536	109.885452	92.000580	-91.682617
3705.451460	106.554062	79.610168	-89.753967
